"Q05" "mean" "Q95"
"1850" -1.254 -0.845 -0.437
"1851" -1.241 -0.833 -0.425
"1852" -1.231 -0.824 -0.418
"1853" -1.25 -0.846 -0.441
"1854" -1.267 -0.865 -0.462
"1855" -1.263 -0.862 -0.461
"1856" -1.259 -0.858 -0.458
"1857" -1.276 -0.878 -0.48
"1858" -1.27 -0.873 -0.476
"1859" -1.254 -0.858 -0.461
"1860" -1.237 -0.841 -0.445
"1861" -1.233 -0.838 -0.443
"1862" -1.328 -0.936 -0.543
"1863" -1.354 -0.962 -0.569
"1864" -1.335 -0.944 -0.553
"1865" -1.306 -0.916 -0.526
"1866" -1.279 -0.89 -0.501
"1867" -1.257 -0.869 -0.481
"1868" -1.239 -0.851 -0.464
"1869" -1.222 -0.835 -0.448
"1870" -1.209 -0.822 -0.436
"1871" -1.197 -0.811 -0.426
"1872" -1.188 -0.803 -0.419
"1873" -1.215 -0.832 -0.449
"1874" -1.218 -0.836 -0.453
"1875" -1.219 -0.838 -0.456
"1876" -1.218 -0.837 -0.457
"1877" -1.211 -0.831 -0.451
"1878" -1.203 -0.824 -0.445
"1879" -1.196 -0.818 -0.44
"1880" -1.195 -0.817 -0.44
"1881" -1.192 -0.815 -0.439
"1882" -1.183 -0.807 -0.432
"1883" -1.241 -0.866 -0.491
"1884" -1.477 -1.091 -0.705
"1885" -1.519 -1.129 -0.739
"1886" -1.474 -1.089 -0.704
"1887" -1.433 -1.052 -0.671
"1888" -1.377 -1.001 -0.625
"1889" -1.326 -0.954 -0.581
"1890" -1.304 -0.934 -0.563
"1891" -1.312 -0.941 -0.571
"1892" -1.287 -0.919 -0.551
"1893" -1.248 -0.882 -0.517
"1894" -1.215 -0.851 -0.487
"1895" -1.191 -0.828 -0.466
"1896" -1.175 -0.814 -0.453
"1897" -1.164 -0.804 -0.445
"1898" -1.156 -0.797 -0.439
"1899" -1.15 -0.793 -0.435
"1900" -1.145 -0.789 -0.433
"1901" -1.142 -0.787 -0.433
"1902" -1.152 -0.799 -0.446
"1903" -1.27 -0.914 -0.558
"1904" -1.297 -0.94 -0.584
"1905" -1.269 -0.915 -0.561
"1906" -1.228 -0.877 -0.527
"1907" -1.215 -0.867 -0.518
"1908" -1.194 -0.848 -0.502
"1909" -1.168 -0.824 -0.481
"1910" -1.149 -0.808 -0.466
"1911" -1.136 -0.796 -0.456
"1912" -1.188 -0.847 -0.507
"1913" -1.239 -0.897 -0.555
"1914" -1.229 -0.889 -0.549
"1915" -1.192 -0.855 -0.519
"1916" -1.155 -0.822 -0.488
"1917" -1.123 -0.793 -0.462
"1918" -1.097 -0.769 -0.442
"1919" -1.081 -0.755 -0.429
"1920" -1.071 -0.747 -0.423
"1921" -1.064 -0.742 -0.421
"1922" -1.077 -0.756 -0.436
"1923" -1.08 -0.762 -0.443
"1924" -1.07 -0.753 -0.437
"1925" -1.059 -0.744 -0.43
"1926" -1.045 -0.733 -0.421
"1927" -1.031 -0.722 -0.412
"1928" -1.025 -0.718 -0.41
"1929" -1.045 -0.739 -0.432
"1930" -1.032 -0.728 -0.424
"1931" -1.022 -0.72 -0.419
"1932" -1.039 -0.738 -0.437
"1933" -1.034 -0.736 -0.437
"1934" -1.023 -0.727 -0.431
"1935" -1.01 -0.716 -0.423
