"Q05" "mean" "Q95"
"2019" 0.243 0.321 0.399
"2020" 0.256 0.341 0.425
"2021" 0.272 0.364 0.455
"2022" 0.291 0.39 0.488
"2023" 0.311 0.416 0.521
"2024" 0.329 0.441 0.553
"2025" 0.343 0.463 0.582
"2026" 0.355 0.481 0.607
"2027" 0.363 0.497 0.63
"2028" 0.372 0.512 0.652
"2029" 0.379 0.526 0.673
"2030" 0.385 0.539 0.694
"2031" 0.391 0.553 0.714
"2032" 0.399 0.567 0.736
"2033" 0.408 0.584 0.76
"2034" 0.421 0.604 0.787
"2035" 0.433 0.623 0.814
"2036" 0.445 0.643 0.841
"2037" 0.454 0.66 0.865
"2038" 0.463 0.676 0.888
"2039" 0.469 0.689 0.908
"2040" 0.473 0.699 0.926
"2041" 0.475 0.709 0.942
"2042" 0.477 0.718 0.959
"2043" 0.48 0.728 0.976
"2044" 0.485 0.74 0.995
"2045" 0.493 0.754 1.016
"2046" 0.502 0.771 1.039
"2047" 0.512 0.788 1.063
"2048" 0.521 0.804 1.086
"2049" 0.527 0.816 1.105
"2050" 0.528 0.824 1.119
"2051" 0.528 0.83 1.132
"2052" 0.527 0.835 1.143
"2053" 0.526 0.84 1.154
"2054" 0.525 0.846 1.166
"2055" 0.527 0.854 1.18
"2056" 0.531 0.864 1.196
"2057" 0.534 0.873 1.211
"2058" 0.537 0.882 1.226
"2059" 0.54 0.89 1.24
"2060" 0.54 0.895 1.251
"2061" 0.537 0.899 1.26
"2062" 0.534 0.901 1.268
"2063" 0.531 0.903 1.275
"2064" 0.527 0.905 1.283
"2065" 0.525 0.908 1.292
"2066" 0.526 0.914 1.303
"2067" 0.528 0.922 1.315
"2068" 0.53 0.929 1.328
"2069" 0.531 0.935 1.339
"2070" 0.529 0.938 1.348
"2071" 0.524 0.939 1.354
"2072" 0.519 0.939 1.359
"2073" 0.513 0.938 1.363
"2074" 0.507 0.937 1.367
"2075" 0.5 0.936 1.371
"2076" 0.493 0.934 1.375
"2077" 0.488 0.934 1.379
"2078" 0.484 0.935 1.386
"2079" 0.482 0.938 1.394
"2080" 0.48 0.941 1.403
"2081" 0.478 0.944 1.411
"2082" 0.474 0.946 1.418
"2083" 0.469 0.946 1.423
"2084" 0.463 0.945 1.427
"2085" 0.455 0.942 1.43
"2086" 0.446 0.939 1.432
"2087" 0.437 0.936 1.434
"2088" 0.43 0.933 1.437
"2089" 0.424 0.933 1.442
"2090" 0.421 0.935 1.45
"2091" 0.419 0.938 1.458
"2092" 0.418 0.943 1.469
"2093" 0.415 0.946 1.477
"2094" 0.409 0.945 1.482
"2095" 0.401 0.943 1.485
"2096" 0.392 0.939 1.486
"2097" 0.382 0.935 1.488
"2098" 0.373 0.931 1.49
"2099" 0.365 0.929 1.493
"2100" 0.359 0.929 1.499
