"Q05" "mean" "Q95"
"1850" -0.996 -0.859 -0.723
"1851" -0.984 -0.849 -0.714
"1852" -0.975 -0.841 -0.707
"1853" -0.991 -0.859 -0.727
"1854" -1.004 -0.874 -0.744
"1855" -1.001 -0.872 -0.743
"1856" -0.996 -0.868 -0.74
"1857" -1.01 -0.884 -0.757
"1858" -1.005 -0.88 -0.754
"1859" -0.991 -0.866 -0.742
"1860" -0.976 -0.852 -0.728
"1861" -0.972 -0.849 -0.726
"1862" -1.052 -0.93 -0.807
"1863" -1.073 -0.951 -0.829
"1864" -1.057 -0.936 -0.815
"1865" -1.032 -0.912 -0.792
"1866" -1.009 -0.89 -0.771
"1867" -0.991 -0.872 -0.753
"1868" -0.975 -0.857 -0.739
"1869" -0.961 -0.843 -0.725
"1870" -0.95 -0.832 -0.714
"1871" -0.94 -0.822 -0.704
"1872" -0.932 -0.815 -0.697
"1873" -0.955 -0.838 -0.721
"1874" -0.957 -0.84 -0.724
"1875" -0.957 -0.841 -0.725
"1876" -0.956 -0.84 -0.724
"1877" -0.95 -0.834 -0.718
"1878" -0.943 -0.828 -0.712
"1879" -0.937 -0.822 -0.706
"1880" -0.936 -0.821 -0.705
"1881" -0.933 -0.818 -0.703
"1882" -0.926 -0.811 -0.695
"1883" -0.973 -0.858 -0.743
"1884" -1.17 -1.044 -0.917
"1885" -1.204 -1.074 -0.943
"1886" -1.167 -1.04 -0.913
"1887" -1.133 -1.009 -0.885
"1888" -1.086 -0.966 -0.845
"1889" -1.043 -0.925 -0.808
"1890" -1.025 -0.908 -0.792
"1891" -1.03 -0.914 -0.797
"1892" -1.01 -0.894 -0.779
"1893" -0.977 -0.863 -0.749
"1894" -0.95 -0.836 -0.723
"1895" -0.93 -0.817 -0.704
"1896" -0.917 -0.804 -0.692
"1897" -0.907 -0.795 -0.683
"1898" -0.901 -0.789 -0.677
"1899" -0.895 -0.784 -0.672
"1900" -0.891 -0.78 -0.669
"1901" -0.888 -0.777 -0.667
"1902" -0.897 -0.786 -0.676
"1903" -0.993 -0.88 -0.767
"1904" -1.015 -0.901 -0.787
"1905" -0.992 -0.879 -0.767
"1906" -0.958 -0.847 -0.737
"1907" -0.947 -0.837 -0.727
"1908" -0.93 -0.82 -0.711
"1909" -0.908 -0.8 -0.692
"1910" -0.893 -0.785 -0.677
"1911" -0.882 -0.774 -0.667
"1912" -0.923 -0.815 -0.708
"1913" -0.965 -0.855 -0.746
"1914" -0.956 -0.847 -0.738
"1915" -0.925 -0.818 -0.711
"1916" -0.894 -0.789 -0.683
"1917" -0.868 -0.763 -0.659
"1918" -0.847 -0.743 -0.639
"1919" -0.833 -0.729 -0.626
"1920" -0.825 -0.721 -0.618
"1921" -0.819 -0.716 -0.613
"1922" -0.829 -0.726 -0.623
"1923" -0.831 -0.729 -0.626
"1924" -0.822 -0.72 -0.618
"1925" -0.813 -0.711 -0.61
"1926" -0.802 -0.701 -0.599
"1927" -0.79 -0.689 -0.588
"1928" -0.785 -0.684 -0.584
"1929" -0.801 -0.7 -0.6
"1930" -0.79 -0.69 -0.59
"1931" -0.782 -0.682 -0.582
"1932" -0.795 -0.695 -0.595
"1933" -0.791 -0.691 -0.592
"1934" -0.781 -0.682 -0.583
"1935" -0.771 -0.672 -0.573
"1936" -0.756 -0.658 -0.559
"1937" -0.743 -0.646 -0.548
"1938" -0.734 -0.636 -0.539
"1939" -0.726 -0.629 -0.531
"1940" -0.721 -0.624 -0.527
"1941" -0.717 -0.621 -0.524
"1942" -0.715 -0.619 -0.523
"1943" -0.715 -0.618 -0.522
"1944" -0.712 -0.617 -0.521
"1945" -0.706 -0.611 -0.515
"1946" -0.699 -0.603 -0.508
"1947" -0.687 -0.592 -0.498
"1948" -0.676 -0.581 -0.487
"1949" -0.668 -0.573 -0.479
"1950" -0.663 -0.569 -0.475
"1951" -0.662 -0.569 -0.475
"1952" -0.66 -0.567 -0.475
"1953" -0.659 -0.566 -0.474
"1954" -0.656 -0.564 -0.472
"1955" -0.65 -0.558 -0.467
"1956" -0.638 -0.547 -0.455
"1957" -0.621 -0.531 -0.44
"1958" -0.607 -0.516 -0.426
"1959" -0.596 -0.506 -0.416
"1960" -0.589 -0.499 -0.41
"1961" -0.586 -0.497 -0.408
"1962" -0.604 -0.516 -0.428
"1963" -0.697 -0.607 -0.517
"1964" -0.762 -0.667 -0.572
"1965" -0.773 -0.677 -0.581
"1966" -0.725 -0.633 -0.541
"1967" -0.708 -0.617 -0.527
"1968" -0.681 -0.593 -0.505
"1969" -0.648 -0.563 -0.477
"1970" -0.62 -0.536 -0.453
"1971" -0.613 -0.53 -0.447
"1972" -0.594 -0.513 -0.432
"1973" -0.566 -0.487 -0.407
"1974" -0.549 -0.471 -0.393
"1975" -0.571 -0.493 -0.414
"1976" -0.555 -0.478 -0.401
"1977" -0.526 -0.451 -0.376
"1978" -0.492 -0.419 -0.346
"1979" -0.46 -0.388 -0.317
"1980" -0.437 -0.368 -0.298
"1981" -0.42 -0.352 -0.284
"1982" -0.434 -0.367 -0.301
"1983" -0.501 -0.432 -0.362
"1984" -0.505 -0.435 -0.365
"1985" -0.478 -0.411 -0.344
"1986" -0.452 -0.388 -0.323
"1987" -0.419 -0.358 -0.297
"1988" -0.378 -0.321 -0.264
"1989" -0.332 -0.278 -0.225
"1990" -0.294 -0.244 -0.193
"1991" -0.322 -0.272 -0.222
"1992" -0.491 -0.421 -0.35
"1993" -0.53 -0.452 -0.373
"1994" -0.466 -0.397 -0.328
"1995" -0.389 -0.332 -0.275
"1996" -0.319 -0.272 -0.225
"1997" -0.256 -0.218 -0.18
"1998" -0.198 -0.167 -0.136
"1999" -0.146 -0.121 -0.095
"2000" -0.099 -0.078 -0.057
"2001" -0.06 -0.042 -0.024
"2002" -0.026 -0.009 0.007
"2003" -0.001 0.013 0.028
"2004" 0.02 0.033 0.046
"2005" 0.036 0.047 0.059
"2006" 0.049 0.059 0.07
"2007" 0.059 0.071 0.083
"2008" 0.071 0.086 0.102
"2009" 0.079 0.099 0.119
"2010" 0.095 0.12 0.144
"2011" 0.109 0.139 0.169
"2012" 0.129 0.164 0.2
"2013" 0.15 0.191 0.233
"2014" 0.168 0.215 0.263
"2015" 0.188 0.241 0.295
"2016" 0.203 0.263 0.322
"2017" 0.217 0.282 0.348
"2018" 0.23 0.302 0.374
