"Q05" "mean" "Q95"
"1850" -0.977 -0.842 -0.707
"1851" -0.967 -0.833 -0.699
"1852" -0.959 -0.826 -0.693
"1853" -0.973 -0.842 -0.712
"1854" -0.986 -0.857 -0.728
"1855" -0.983 -0.855 -0.727
"1856" -0.979 -0.852 -0.725
"1857" -0.992 -0.867 -0.741
"1858" -0.987 -0.863 -0.738
"1859" -0.975 -0.851 -0.727
"1860" -0.961 -0.838 -0.715
"1861" -0.958 -0.836 -0.714
"1862" -1.031 -0.91 -0.789
"1863" -1.05 -0.929 -0.809
"1864" -1.036 -0.916 -0.796
"1865" -1.013 -0.894 -0.776
"1866" -0.993 -0.874 -0.756
"1867" -0.976 -0.858 -0.741
"1868" -0.962 -0.845 -0.727
"1869" -0.949 -0.832 -0.715
"1870" -0.939 -0.822 -0.705
"1871" -0.93 -0.814 -0.697
"1872" -0.924 -0.807 -0.691
"1873" -0.944 -0.828 -0.713
"1874" -0.946 -0.831 -0.715
"1875" -0.947 -0.832 -0.717
"1876" -0.946 -0.831 -0.716
"1877" -0.941 -0.826 -0.711
"1878" -0.935 -0.82 -0.706
"1879" -0.93 -0.815 -0.7
"1880" -0.929 -0.814 -0.7
"1881" -0.926 -0.812 -0.698
"1882" -0.92 -0.805 -0.691
"1883" -0.963 -0.849 -0.735
"1884" -1.144 -1.019 -0.894
"1885" -1.175 -1.047 -0.918
"1886" -1.141 -1.016 -0.891
"1887" -1.109 -0.987 -0.865
"1888" -1.066 -0.947 -0.829
"1889" -1.026 -0.911 -0.795
"1890" -1.01 -0.895 -0.78
"1891" -1.015 -0.9 -0.785
"1892" -0.996 -0.882 -0.768
"1893" -0.966 -0.853 -0.74
"1894" -0.941 -0.828 -0.716
"1895" -0.922 -0.81 -0.699
"1896" -0.91 -0.798 -0.687
"1897" -0.901 -0.79 -0.679
"1898" -0.895 -0.784 -0.673
"1899" -0.89 -0.779 -0.668
"1900" -0.886 -0.775 -0.665
"1901" -0.883 -0.772 -0.662
"1902" -0.89 -0.78 -0.67
"1903" -0.978 -0.866 -0.754
"1904" -0.998 -0.885 -0.772
"1905" -0.976 -0.864 -0.752
"1906" -0.944 -0.834 -0.724
"1907" -0.934 -0.825 -0.715
"1908" -0.917 -0.809 -0.7
"1909" -0.897 -0.79 -0.682
"1910" -0.882 -0.775 -0.668
"1911" -0.872 -0.765 -0.659
"1912" -0.909 -0.802 -0.695
"1913" -0.947 -0.838 -0.729
"1914" -0.938 -0.83 -0.722
"1915" -0.909 -0.803 -0.696
"1916" -0.88 -0.775 -0.67
"1917" -0.856 -0.752 -0.647
