"Q05" "mean" "Q95"
"1850" -1.243 -0.832 -0.422
"1851" -1.224 -0.818 -0.411
"1852" -1.211 -0.808 -0.404
"1853" -1.235 -0.832 -0.428
"1854" -1.257 -0.853 -0.449
"1855" -1.251 -0.849 -0.448
"1856" -1.244 -0.845 -0.446
"1857" -1.266 -0.867 -0.467
"1858" -1.258 -0.861 -0.464
"1859" -1.236 -0.843 -0.45
"1860" -1.213 -0.824 -0.435
"1861" -1.206 -0.82 -0.433
"1862" -1.329 -0.93 -0.531
"1863" -1.36 -0.959 -0.558
"1864" -1.336 -0.939 -0.542
"1865" -1.298 -0.907 -0.516
"1866" -1.263 -0.877 -0.491
"1867" -1.234 -0.853 -0.471
"1868" -1.21 -0.832 -0.455
"1869" -1.189 -0.814 -0.439
"1870" -1.171 -0.799 -0.427
"1871" -1.156 -0.786 -0.417
"1872" -1.145 -0.777 -0.409
"1873" -1.179 -0.809 -0.439
"1874" -1.182 -0.813 -0.443
"1875" -1.184 -0.815 -0.446
"1876" -1.182 -0.814 -0.445
"1877" -1.173 -0.806 -0.439
"1878" -1.164 -0.798 -0.433
"1879" -1.155 -0.791 -0.427
"1880" -1.154 -0.79 -0.426
"1881" -1.15 -0.787 -0.424
"1882" -1.14 -0.778 -0.417
"1883" -1.213 -0.844 -0.475
"1884" -1.505 -1.099 -0.693
"1885" -1.554 -1.141 -0.729
"1886" -1.501 -1.096 -0.691
"1887" -1.452 -1.055 -0.657
"1888" -1.385 -0.996 -0.608
"1889" -1.323 -0.942 -0.562
"1890" -1.297 -0.92 -0.542
"1891" -1.307 -0.929 -0.55
"1892" -1.279 -0.903 -0.528
"1893" -1.232 -0.862 -0.492
"1894" -1.192 -0.826 -0.461
"1895" -1.164 -0.801 -0.439
"1896" -1.146 -0.785 -0.424
"1897" -1.134 -0.774 -0.415
"1898" -1.126 -0.767 -0.408
"1899" -1.12 -0.762 -0.403
"1900" -1.116 -0.758 -0.4
"1901" -1.114 -0.756 -0.399
"1902" -1.13 -0.77 -0.411
"1903" -1.275 -0.901 -0.526
"1904" -1.31 -0.932 -0.553
"1905" -1.278 -0.903 -0.528
"1906" -1.231 -0.861 -0.492
"1907" -1.218 -0.85 -0.482
"1908" -1.194 -0.829 -0.464
"1909" -1.165 -0.803 -0.441
"1910" -1.145 -0.785 -0.425
"1911" -1.131 -0.773 -0.414
"1912" -1.196 -0.831 -0.466
"1913" -1.261 -0.889 -0.517
"1914" -1.251 -0.88 -0.509
"1915" -1.209 -0.843 -0.477
"1916" -1.166 -0.805 -0.445
"1917" -1.131 -0.774 -0.417
"1918" -1.102 -0.748 -0.394
"1919" -1.085 -0.733 -0.381
"1920" -1.075 -0.724 -0.374
"1921" -1.07 -0.72 -0.37
"1922" -1.088 -0.737 -0.386
"1923" -1.095 -0.744 -0.393
"1924" -1.085 -0.735 -0.385
"1925" -1.074 -0.725 -0.377
"1926" -1.06 -0.714 -0.368
"1927" -1.046 -0.701 -0.357
"1928" -1.041 -0.698 -0.354
"1929" -1.067 -0.722 -0.377
"1930" -1.054 -0.711 -0.368
"1931" -1.045 -0.703 -0.362
"1932" -1.067 -0.724 -0.381
"1933" -1.064 -0.722 -0.38
"1934" -1.052 -0.712 -0.372
"1935" -1.039 -0.701 -0.363
"1936" -1.019 -0.684 -0.349
"1937" -1.003 -0.671 -0.338
"1938" -0.992 -0.661 -0.33
"1939" -0.982 -0.653 -0.324
"1940" -0.977 -0.649 -0.322
"1941" -0.974 -0.648 -0.321
"1942" -0.974 -0.648 -0.323
"1943" -0.975 -0.65 -0.326
"1944" -0.974 -0.651 -0.327
"1945" -0.967 -0.645 -0.324
"1946" -0.958 -0.638 -0.318
"1947" -0.943 -0.626 -0.309
"1948" -0.929 -0.614 -0.299
"1949" -0.918 -0.605 -0.292
"1950" -0.913 -0.602 -0.291
"1951" -0.915 -0.605 -0.295
"1952" -0.915 -0.606 -0.297
"1953" -0.915 -0.607 -0.299
"1954" -0.913 -0.607 -0.301
"1955" -0.906 -0.602 -0.297
"1956" -0.89 -0.588 -0.287
"1957" -0.867 -0.569 -0.272
"1958" -0.847 -0.552 -0.258
"1959" -0.834 -0.542 -0.25
"1960" -0.824 -0.535 -0.245
"1961" -0.822 -0.535 -0.247
"1962" -0.853 -0.564 -0.275
"1963" -0.993 -0.691 -0.389
"1964" -1.091 -0.777 -0.463
"1965" -1.108 -0.793 -0.478
"1966" -1.039 -0.735 -0.431
"1967" -1.017 -0.717 -0.418
"1968" -0.979 -0.687 -0.394
"1969" -0.933 -0.648 -0.363
"1970" -0.894 -0.616 -0.338
"1971" -0.885 -0.61 -0.335
"1972" -0.859 -0.59 -0.32
"1973" -0.818 -0.556 -0.294
"1974" -0.794 -0.538 -0.281
"1975" -0.829 -0.571 -0.313
"1976" -0.807 -0.554 -0.302
"1977" -0.764 -0.52 -0.275
"1978" -0.715 -0.479 -0.244
"1979" -0.668 -0.441 -0.214
"1980" -0.635 -0.415 -0.195
"1981" -0.61 -0.397 -0.184
"1982" -0.632 -0.421 -0.21
"1983" -0.732 -0.512 -0.293
"1984" -0.737 -0.52 -0.304
"1985" -0.698 -0.491 -0.283
"1986" -0.66 -0.462 -0.264
"1987" -0.611 -0.424 -0.237
"1988" -0.552 -0.377 -0.203
"1989" -0.484 -0.323 -0.161
"1990" -0.428 -0.278 -0.129
"1991" -0.469 -0.32 -0.172
"1992" -0.711 -0.528 -0.345
