"Q05" "mean" "Q95"
"1993" -0.764 -0.574 -0.384
"1994" -0.672 -0.503 -0.333
"1995" -0.562 -0.417 -0.273
"1996" -0.462 -0.339 -0.216
"1997" -0.371 -0.268 -0.166
"1998" -0.287 -0.203 -0.119
"1999" -0.21 -0.142 -0.075
"2000" -0.141 -0.088 -0.035
"2001" -0.084 -0.043 -0.002
"2002" -0.033 -0.002 0.029
"2003" 0.001 0.025 0.048
"2004" 0.028 0.048 0.068
"2005" 0.044 0.064 0.084
"2006" 0.051 0.076 0.101
"2007" 0.055 0.088 0.122
"2008" 0.061 0.105 0.149
"2009" 0.063 0.118 0.172
"2010" 0.074 0.141 0.208
"2011" 0.085 0.164 0.243
"2012" 0.101 0.194 0.286
"2013" 0.119 0.226 0.332
"2014" 0.134 0.254 0.373
"2015" 0.151 0.284 0.418
"2016" 0.162 0.308 0.455
"2017" 0.171 0.33 0.489
"2018" 0.18 0.351 0.523
"2019" 0.188 0.372 0.556
"2020" 0.197 0.394 0.59
"2021" 0.21 0.42 0.629
"2022" 0.226 0.449 0.672
"2023" 0.243 0.479 0.716
"2024" 0.258 0.508 0.758
"2025" 0.269 0.531 0.793
"2026" 0.275 0.55 0.824
"2027" 0.279 0.565 0.85
"2028" 0.281 0.579 0.876
"2029" 0.283 0.591 0.899
"2030" 0.283 0.603 0.922
"2031" 0.284 0.614 0.944
"2032" 0.285 0.626 0.967
"2033" 0.29 0.642 0.994
"2034" 0.298 0.662 1.025
"2035" 0.306 0.68 1.054
"2036" 0.314 0.699 1.084
"2037" 0.319 0.714 1.11
"2038" 0.323 0.728 1.133
"2039" 0.323 0.738 1.152
"2040" 0.321 0.744 1.168
"2041" 0.316 0.748 1.181
"2042" 0.312 0.753 1.193
"2043" 0.309 0.758 1.207
"2044" 0.308 0.765 1.222
"2045" 0.311 0.777 1.242
"2046" 0.316 0.79 1.264
"2047" 0.323 0.805 1.287
"2048" 0.328 0.817 1.307
"2049" 0.328 0.825 1.322
"2050" 0.323 0.827 1.331
"2051" 0.317 0.827 1.337
"2052" 0.309 0.825 1.341
"2053" 0.301 0.823 1.344
"2054" 0.295 0.822 1.349
"2055" 0.292 0.824 1.357
"2056" 0.291 0.829 1.367
"2057" 0.29 0.833 1.376
"2058" 0.288 0.837 1.385
"2059" 0.287 0.839 1.392
"2060" 0.282 0.839 1.396
"2061" 0.274 0.835 1.396
"2062" 0.266 0.83 1.395
"2063" 0.257 0.825 1.393
"2064" 0.249 0.821 1.392
"2065" 0.243 0.817 1.391
"2066" 0.241 0.818 1.395
"2067" 0.241 0.821 1.401
"2068" 0.241 0.824 1.407
"2069" 0.24 0.825 1.411
"2070" 0.235 0.823 1.411
"2071" 0.228 0.818 1.408
"2072" 0.22 0.811 1.403
"2073" 0.211 0.805 1.398
"2074" 0.202 0.797 1.391
"2075" 0.193 0.789 1.385
"2076" 0.184 0.782 1.379
"2077" 0.177 0.776 1.374
"2078" 0.172 0.772 1.372
"2079" 0.17 0.771 1.373
"2080" 0.168 0.771 1.374
"2081" 0.166 0.77 1.374
"2082" 0.163 0.768 1.373
"2083" 0.157 0.763 1.369
"2084" 0.15 0.758 1.365
"2085" 0.141 0.749 1.357
"2086" 0.131 0.74 1.349
"2087" 0.122 0.732 1.342
"2088" 0.114 0.724 1.335
"2089" 0.108 0.72 1.332
"2090" 0.105 0.719 1.332
"2091" 0.104 0.719 1.334
"2092" 0.105 0.722 1.338
"2093" 0.103 0.721 1.339
"2094" 0.097 0.716 1.335
"2095" 0.089 0.709 1.33
"2096" 0.078 0.7 1.322
"2097" 0.068 0.691 1.313
"2098" 0.057 0.681 1.306
"2099" 0.049 0.674 1.3
"2100" 0.043 0.67 1.298
