"Q05" "mean" "Q95"
"1850" -1.22 -0.803 -0.386
"1851" -1.208 -0.792 -0.376
"1852" -1.199 -0.784 -0.368
"1853" -1.216 -0.803 -0.391
"1854" -1.231 -0.821 -0.41
"1855" -1.227 -0.818 -0.409
"1856" -1.222 -0.814 -0.407
"1857" -1.238 -0.832 -0.427
"1858" -1.232 -0.828 -0.423
"1859" -1.217 -0.813 -0.409
"1860" -1.201 -0.798 -0.394
"1861" -1.197 -0.795 -0.392
"1862" -1.283 -0.884 -0.486
"1863" -1.305 -0.908 -0.511
"1864" -1.288 -0.892 -0.496
"1865" -1.261 -0.866 -0.471
"1866" -1.237 -0.842 -0.447
"1867" -1.217 -0.823 -0.428
"1868" -1.2 -0.806 -0.412
"1869" -1.185 -0.791 -0.398
"1870" -1.173 -0.78 -0.386
"1871" -1.162 -0.769 -0.376
"1872" -1.154 -0.762 -0.37
"1873" -1.178 -0.788 -0.398
"1874" -1.18 -0.791 -0.402
"1875" -1.181 -0.793 -0.406
"1876" -1.179 -0.793 -0.406
"1877" -1.173 -0.787 -0.401
"1878" -1.166 -0.781 -0.395
"1879" -1.159 -0.775 -0.39
"1880" -1.158 -0.774 -0.391
"1881" -1.155 -0.773 -0.39
"1882" -1.147 -0.765 -0.383
"1883" -1.199 -0.819 -0.439
"1884" -1.413 -1.026 -0.639
"1885" -1.451 -1.061 -0.67
"1886" -1.41 -1.024 -0.638
"1887" -1.373 -0.991 -0.608
"1888" -1.322 -0.943 -0.565
"1889" -1.275 -0.9 -0.524
"1890" -1.256 -0.882 -0.507
"1891" -1.262 -0.889 -0.515
"1892" -1.24 -0.868 -0.496
"1893" -1.205 -0.834 -0.464
"1894" -1.174 -0.805 -0.437
"1895" -1.153 -0.785 -0.417
"1896" -1.138 -0.771 -0.405
"1897" -1.128 -0.763 -0.397
"1898" -1.121 -0.756 -0.392
"1899" -1.115 -0.752 -0.389
"1900" -1.111 -0.749 -0.387
"1901" -1.108 -0.747 -0.386
"1902" -1.117 -0.758 -0.398
"1903" -1.224 -0.863 -0.502
"1904" -1.249 -0.888 -0.527
"1905" -1.223 -0.864 -0.506
"1906" -1.185 -0.829 -0.474
"1907" -1.173 -0.82 -0.466
"1908" -1.154 -0.802 -0.45
"1909" -1.13 -0.78 -0.43
"1910" -1.113 -0.765 -0.417
"1911" -1.101 -0.754 -0.408
"1912" -1.148 -0.801 -0.455
"1913" -1.194 -0.847 -0.499
"1914" -1.185 -0.839 -0.493
"1915" -1.15 -0.808 -0.466
"1916" -1.116 -0.777 -0.437
"1917" -1.087 -0.75 -0.413
"1918" -1.063 -0.728 -0.394
"1919" -1.048 -0.715 -0.382
"1920" -1.038 -0.707 -0.377
"1921" -1.032 -0.703 -0.374
"1922" -1.043 -0.716 -0.388
"1923" -1.046 -0.721 -0.395
"1924" -1.036 -0.713 -0.389
"1925" -1.025 -0.704 -0.383
"1926" -1.013 -0.694 -0.375
"1927" -1 -0.683 -0.366
"1928" -0.994 -0.679 -0.365
"1929" -1.012 -0.699 -0.385
"1930" -0.999 -0.688 -0.378
"1931" -0.99 -0.682 -0.373
"1932" -1.005 -0.698 -0.391
"1933" -1.001 -0.696 -0.391
"1934" -0.99 -0.687 -0.385
"1935" -0.978 -0.678 -0.378
"1936" -0.961 -0.664 -0.366
"1937" -0.947 -0.652 -0.357
"1938" -0.936 -0.644 -0.352
"1939" -0.927 -0.637 -0.348
"1940" -0.921 -0.634 -0.346
"1941" -0.917 -0.632 -0.347
"1942" -0.915 -0.632 -0.349
"1943" -0.914 -0.634 -0.353
"1944" -0.912 -0.633 -0.355
"1945" -0.905 -0.629 -0.353
"1946" -0.896 -0.623 -0.349
"1947" -0.884 -0.613 -0.342
"1948" -0.871 -0.603 -0.334
"1949" -0.861 -0.596 -0.33
"1950" -0.856 -0.593 -0.329
"1951" -0.856 -0.595 -0.333
"1952" -0.855 -0.595 -0.336
"1953" -0.854 -0.596 -0.339
"1954" -0.851 -0.596 -0.34
"1955" -0.845 -0.591 -0.338
"1956" -0.831 -0.58 -0.33
"1957" -0.812 -0.565 -0.317
"1958" -0.795 -0.551 -0.306
"1959" -0.784 -0.542 -0.3
"1960" -0.776 -0.536 -0.296
"1961" -0.773 -0.535 -0.297
"1962" -0.796 -0.559 -0.321
"1963" -0.911 -0.661 -0.411
"1964" -0.993 -0.73 -0.468
"1965" -1.008 -0.743 -0.478
"1966" -0.949 -0.696 -0.442
"1967" -0.93 -0.68 -0.43
"1968" -0.898 -0.655 -0.411
"1969" -0.859 -0.623 -0.386
"1970" -0.825 -0.595 -0.365
"1971" -0.817 -0.59 -0.362
"1972" -0.795 -0.572 -0.349
"1973" -0.76 -0.544 -0.327
"1974" -0.739 -0.527 -0.316
"1975" -0.768 -0.553 -0.338
"1976" -0.748 -0.538 -0.328
"1977" -0.711 -0.509 -0.306
"1978" -0.669 -0.475 -0.28
"1979" -0.629 -0.442 -0.255
"1980" -0.6 -0.419 -0.238
"1981" -0.579 -0.403 -0.227
"1982" -0.596 -0.42 -0.245
"1983" -0.68 -0.493 -0.305
"1984" -0.684 -0.497 -0.31
"1985" -0.649 -0.471 -0.292
"1986" -0.616 -0.445 -0.275
"1987" -0.573 -0.412 -0.252
"1988" -0.52 -0.371 -0.223
"1989" -0.461 -0.325 -0.189
"1990" -0.412 -0.286 -0.161
"1991" -0.445 -0.317 -0.19
"1992" -0.658 -0.483 -0.308
"1993" -0.705 -0.517 -0.329
"1994" -0.622 -0.456 -0.29
"1995" -0.523 -0.383 -0.244
"1996" -0.432 -0.316 -0.2
"1997" -0.351 -0.255 -0.16
"1998" -0.274 -0.198 -0.122
"1999" -0.205 -0.145 -0.085
"2000" -0.142 -0.097 -0.051
"2001" -0.091 -0.056 -0.021
"2002" -0.045 -0.018 0.01
"2003" -0.014 0.009 0.031
"2004" 0.012 0.033 0.053
"2005" 0.03 0.051 0.072
"2006" 0.042 0.066 0.09
"2007" 0.051 0.081 0.112
"2008" 0.062 0.101 0.14
"2009" 0.07 0.118 0.165
"2010" 0.084 0.143 0.202
"2011" 0.099 0.169 0.239
"2012" 0.117 0.2 0.283
"2013" 0.138 0.234 0.33
"2014" 0.156 0.265 0.373
"2015" 0.176 0.298 0.421
"2016" 0.192 0.327 0.461
"2017" 0.207 0.354 0.5
"2018" 0.222 0.381 0.54
"2019" 0.238 0.409 0.579
"2020" 0.254 0.437 0.62
"2021" 0.273 0.47 0.666
"2022" 0.295 0.506 0.717
"2023" 0.318 0.543 0.768
"2024" 0.341 0.58 0.819
"2025" 0.36 0.613 0.866
"2026" 0.378 0.643 0.909
"2027" 0.393 0.671 0.949
"2028" 0.409 0.699 0.989
"2029" 0.423 0.726 1.029
"2030" 0.439 0.754 1.069
"2031" 0.454 0.782 1.109
"2032" 0.471 0.812 1.152
"2033" 0.491 0.845 1.198
"2034" 0.514 0.882 1.25
"2035" 0.538 0.919 1.301
"2036" 0.562 0.958 1.354
"2037" 0.584 0.994 1.404
"2038" 0.607 1.03 1.453
"2039" 0.627 1.063 1.5
"2040" 0.646 1.095 1.545
"2041" 0.664 1.126 1.588
"2042" 0.682 1.158 1.633
"2043" 0.703 1.191 1.68
"2044" 0.725 1.227 1.729
"2045" 0.75 1.267 1.783
"2046" 0.778 1.309 1.84
"2047" 0.807 1.354 1.9
"2048" 0.836 1.397 1.958
"2049" 0.862 1.437 2.013
"2050" 0.884 1.473 2.063
"2051" 0.906 1.509 2.111
"2052" 0.927 1.543 2.16
"2053" 0.949 1.578 2.208
"2054" 0.971 1.615 2.259
"2055" 0.997 1.655 2.313
"2056" 1.025 1.698 2.371
"2057" 1.053 1.741 2.429
"2058" 1.081 1.783 2.486
"2059" 1.109 1.826 2.544
"2060" 1.134 1.867 2.599
"2061" 1.159 1.906 2.653
"2062" 1.183 1.944 2.705
"2063" 1.207 1.982 2.758
"2064" 1.232 2.022 2.812
"2065" 1.258 2.063 2.868
"2066" 1.287 2.107 2.928
"2067" 1.318 2.154 2.991
"2068" 1.349 2.202 3.054
"2069" 1.379 2.248 3.116
"2070" 1.408 2.291 3.175
"2071" 1.434 2.333 3.232
"2072" 1.459 2.374 3.288
"2073" 1.485 2.415 3.344
"2074" 1.51 2.455 3.4
"2075" 1.535 2.496 3.456
"2076" 1.561 2.537 3.512
"2077" 1.588 2.579 3.571
"2078" 1.617 2.624 3.632
"2079" 1.647 2.671 3.695
"2080" 1.679 2.719 3.76
"2081" 1.709 2.766 3.824
"2082" 1.739 2.813 3.887
"2083" 1.768 2.858 3.948
"2084" 1.796 2.902 4.008
"2085" 1.821 2.944 4.066
"2086" 1.847 2.985 4.124
"2087" 1.873 3.028 4.183
"2088" 1.899 3.071 4.242
"2089" 1.928 3.116 4.304
"2090" 1.959 3.164 4.37
"2091" 1.991 3.214 4.437
"2092" 2.025 3.266 4.506
"2093" 2.057 3.314 4.572
"2094" 2.085 3.36 4.635
"2095" 2.112 3.404 4.695
"2096" 2.137 3.446 4.754
"2097" 2.163 3.488 4.812
"2098" 2.188 3.53 4.871
"2099" 2.215 3.573 4.932
"2100" 2.244 3.62 4.996
