"Q05" "mean" "Q95"
"1850" -0.987 -0.85 -0.713
"1851" -0.975 -0.84 -0.705
"1852" -0.967 -0.833 -0.699
"1853" -0.982 -0.85 -0.717
"1854" -0.995 -0.864 -0.734
"1855" -0.991 -0.862 -0.733
"1856" -0.987 -0.859 -0.731
"1857" -1.001 -0.874 -0.748
"1858" -0.996 -0.87 -0.745
"1859" -0.983 -0.858 -0.733
"1860" -0.968 -0.844 -0.721
"1861" -0.965 -0.842 -0.719
"1862" -1.041 -0.919 -0.796
"1863" -1.061 -0.939 -0.817
"1864" -1.046 -0.925 -0.804
"1865" -1.022 -0.902 -0.782
"1866" -1.001 -0.882 -0.762
"1867" -0.983 -0.865 -0.746
"1868" -0.968 -0.85 -0.732
"1869" -0.955 -0.837 -0.719
"1870" -0.945 -0.827 -0.709
"1871" -0.935 -0.818 -0.7
"1872" -0.928 -0.811 -0.694
"1873" -0.95 -0.833 -0.716
"1874" -0.952 -0.835 -0.719
"1875" -0.953 -0.836 -0.72
"1876" -0.951 -0.835 -0.719
"1877" -0.946 -0.83 -0.714
"1878" -0.94 -0.824 -0.708
"1879" -0.934 -0.818 -0.703
"1880" -0.933 -0.817 -0.702
"1881" -0.931 -0.815 -0.7
"1882" -0.924 -0.808 -0.693
"1883" -0.969 -0.854 -0.739
"1884" -1.157 -1.031 -0.904
"1885" -1.19 -1.06 -0.929
"1886" -1.154 -1.027 -0.901
"1887" -1.121 -0.998 -0.874
"1888" -1.076 -0.956 -0.837
"1889" -1.035 -0.918 -0.801
"1890" -1.018 -0.902 -0.786
"1891" -1.023 -0.907 -0.791
"1892" -1.004 -0.888 -0.773
"1893" -0.972 -0.859 -0.745
"1894" -0.946 -0.833 -0.72
"1895" -0.927 -0.814 -0.702
"1896" -0.914 -0.802 -0.69
"1897" -0.905 -0.793 -0.681
"1898" -0.899 -0.787 -0.675
"1899" -0.893 -0.782 -0.671
"1900" -0.889 -0.778 -0.667
"1901" -0.886 -0.776 -0.665
"1902" -0.894 -0.784 -0.674
"1903" -0.986 -0.873 -0.761
"1904" -1.007 -0.893 -0.78
"1905" -0.984 -0.872 -0.76
"1906" -0.951 -0.841 -0.731
"1907" -0.941 -0.831 -0.722
"1908" -0.924 -0.815 -0.707
"1909" -0.903 -0.795 -0.688
"1910" -0.888 -0.781 -0.674
"1911" -0.877 -0.77 -0.664
"1912" -0.916 -0.809 -0.702
"1913" -0.956 -0.847 -0.738
"1914" -0.947 -0.839 -0.731
"1915" -0.917 -0.811 -0.704
"1916" -0.888 -0.782 -0.677
"1917" -0.862 -0.758 -0.654
"1918" -0.842 -0.738 -0.634
"1919" -0.828 -0.725 -0.622
"1920" -0.82 -0.717 -0.614
"1921" -0.814 -0.711 -0.609
"1922" -0.823 -0.721 -0.619
"1923" -0.825 -0.723 -0.621
"1924" -0.816 -0.715 -0.613
"1925" -0.807 -0.706 -0.605
"1926" -0.796 -0.695 -0.594
"1927" -0.784 -0.684 -0.584
"1928" -0.779 -0.679 -0.579
"1929" -0.794 -0.694 -0.594
"1930" -0.783 -0.684 -0.584
"1931" -0.775 -0.676 -0.577
"1932" -0.787 -0.688 -0.589
"1933" -0.783 -0.684 -0.586
"1934" -0.773 -0.675 -0.577
"1935" -0.763 -0.665 -0.568
"1936" -0.749 -0.651 -0.554
"1937" -0.736 -0.64 -0.543
"1938" -0.727 -0.631 -0.534
"1939" -0.719 -0.623 -0.527
"1940" -0.714 -0.618 -0.522
"1941" -0.71 -0.615 -0.519
"1942" -0.708 -0.613 -0.518
"1943" -0.707 -0.612 -0.517
"1944" -0.705 -0.61 -0.516
"1945" -0.699 -0.604 -0.51
"1946" -0.691 -0.597 -0.503
"1947" -0.68 -0.587 -0.493
"1948" -0.669 -0.576 -0.483
"1949" -0.661 -0.568 -0.475
"1950" -0.657 -0.564 -0.471
"1951" -0.656 -0.564 -0.471
"1952" -0.654 -0.562 -0.47
"1953" -0.652 -0.561 -0.469
"1954" -0.65 -0.559 -0.468
