"Q05" "mean" "Q95"
"1850" -0.978 -0.842 -0.705
"1851" -0.968 -0.832 -0.697
"1852" -0.96 -0.826 -0.692
"1853" -0.974 -0.842 -0.71
"1854" -0.987 -0.856 -0.726
"1855" -0.984 -0.854 -0.725
"1856" -0.98 -0.852 -0.724
"1857" -0.993 -0.866 -0.74
"1858" -0.988 -0.863 -0.737
"1859" -0.976 -0.851 -0.726
"1860" -0.963 -0.839 -0.715
"1861" -0.959 -0.836 -0.713
"1862" -1.032 -0.909 -0.787
"1863" -1.051 -0.929 -0.807
"1864" -1.037 -0.915 -0.794
"1865" -1.014 -0.894 -0.774
"1866" -0.994 -0.875 -0.756
"1867" -0.978 -0.859 -0.74
"1868" -0.964 -0.845 -0.727
"1869" -0.951 -0.833 -0.715
"1870" -0.941 -0.824 -0.706
"1871" -0.933 -0.815 -0.697
"1872" -0.926 -0.809 -0.691
"1873" -0.946 -0.83 -0.713
"1874" -0.949 -0.832 -0.716
"1875" -0.95 -0.833 -0.717
"1876" -0.948 -0.832 -0.716
"1877" -0.943 -0.827 -0.711
"1878" -0.938 -0.822 -0.706
"1879" -0.932 -0.817 -0.701
"1880" -0.931 -0.816 -0.7
"1881" -0.929 -0.814 -0.698
"1882" -0.922 -0.807 -0.692
"1883" -0.965 -0.85 -0.735
"1884" -1.145 -1.018 -0.891
"1885" -1.176 -1.045 -0.915
"1886" -1.141 -1.015 -0.888
"1887" -1.11 -0.987 -0.863
"1888" -1.067 -0.947 -0.828
"1889" -1.028 -0.911 -0.794
"1890" -1.011 -0.895 -0.779
"1891" -1.016 -0.9 -0.784
"1892" -0.997 -0.882 -0.767
"1893" -0.968 -0.854 -0.74
"1894" -0.942 -0.829 -0.716
"1895" -0.924 -0.811 -0.699
"1896" -0.911 -0.799 -0.687
"1897" -0.903 -0.791 -0.679
"1898" -0.896 -0.785 -0.673
"1899" -0.891 -0.78 -0.669
"1900" -0.887 -0.776 -0.665
"1901" -0.884 -0.773 -0.663
"1902" -0.891 -0.781 -0.671
"1903" -0.977 -0.865 -0.753
"1904" -0.997 -0.884 -0.771
"1905" -0.975 -0.863 -0.752
"1906" -0.943 -0.833 -0.724
"1907" -0.933 -0.824 -0.715
"1908" -0.916 -0.808 -0.7
"1909" -0.896 -0.789 -0.682
"1910" -0.881 -0.775 -0.668
"1911" -0.871 -0.764 -0.658
"1912" -0.908 -0.801 -0.694
"1913" -0.945 -0.836 -0.728
"1914" -0.936 -0.828 -0.72
"1915" -0.907 -0.801 -0.695
"1916" -0.879 -0.774 -0.669
"1917" -0.854 -0.75 -0.646
"1918" -0.834 -0.731 -0.627
"1919" -0.821 -0.718 -0.615
"1920" -0.813 -0.71 -0.607
"1921" -0.807 -0.704 -0.602
"1922" -0.815 -0.713 -0.611
"1923" -0.816 -0.715 -0.613
"1924" -0.807 -0.706 -0.605
"1925" -0.798 -0.697 -0.596
"1926" -0.787 -0.687 -0.586
"1927" -0.776 -0.676 -0.576
"1928" -0.771 -0.671 -0.571
"1929" -0.784 -0.684 -0.585
"1930" -0.773 -0.674 -0.575
"1931" -0.765 -0.667 -0.568
"1932" -0.776 -0.678 -0.579
"1933" -0.772 -0.674 -0.575
"1934" -0.763 -0.665 -0.567
"1935" -0.753 -0.655 -0.557
"1936" -0.739 -0.642 -0.544
"1937" -0.727 -0.63 -0.533
"1938" -0.718 -0.621 -0.525
"1939" -0.71 -0.614 -0.517
"1940" -0.705 -0.609 -0.513
"1941" -0.701 -0.605 -0.51
"1942" -0.699 -0.604 -0.508
"1943" -0.698 -0.603 -0.508
"1944" -0.695 -0.601 -0.506
"1945" -0.689 -0.595 -0.501
"1946" -0.682 -0.588 -0.494
"1947" -0.671 -0.578 -0.484
"1948" -0.661 -0.567 -0.474
"1949" -0.652 -0.56 -0.467
"1950" -0.648 -0.556 -0.463
"1951" -0.647 -0.555 -0.463
"1952" -0.645 -0.554 -0.462
"1953" -0.643 -0.552 -0.461
"1954" -0.641 -0.55 -0.46
"1955" -0.635 -0.545 -0.455
"1956" -0.624 -0.534 -0.444
"1957" -0.609 -0.519 -0.43
"1958" -0.595 -0.506 -0.417
"1959" -0.586 -0.497 -0.409
"1960" -0.579 -0.491 -0.403
"1961" -0.576 -0.488 -0.401
"1962" -0.592 -0.506 -0.42
"1963" -0.676 -0.588 -0.5
"1964" -0.735 -0.642 -0.55
"1965" -0.745 -0.651 -0.557
"1966" -0.7 -0.611 -0.521
"1967" -0.685 -0.597 -0.509
"1968" -0.66 -0.575 -0.489
"1969" -0.631 -0.547 -0.464
"1970" -0.605 -0.523 -0.442
"1971" -0.598 -0.517 -0.436
"1972" -0.581 -0.502 -0.422
"1973" -0.556 -0.478 -0.4
"1974" -0.54 -0.463 -0.386
"1975" -0.56 -0.483 -0.406
"1976" -0.545 -0.469 -0.394
"1977" -0.518 -0.444 -0.37
"1978" -0.488 -0.415 -0.343
"1979" -0.458 -0.387 -0.317
"1980" -0.438 -0.368 -0.299
"1981" -0.422 -0.354 -0.286
"1982" -0.434 -0.367 -0.301
"1983" -0.494 -0.425 -0.356
"1984" -0.496 -0.427 -0.359
"1985" -0.471 -0.405 -0.339
"1986" -0.447 -0.384 -0.32
"1987" -0.416 -0.356 -0.295
"1988" -0.379 -0.322 -0.265
"1989" -0.337 -0.283 -0.229
"1990" -0.302 -0.25 -0.199
"1991" -0.325 -0.275 -0.225
"1992" -0.478 -0.409 -0.339
"1993" -0.513 -0.436 -0.359
"1994" -0.452 -0.385 -0.317
"1995" -0.381 -0.325 -0.269
"1996" -0.316 -0.269 -0.223
"1997" -0.257 -0.219 -0.18
"1998" -0.202 -0.171 -0.14
"1999" -0.153 -0.127 -0.101
"2000" -0.108 -0.086 -0.064
"2001" -0.071 -0.052 -0.032
"2002" -0.037 -0.019 -0.002
"2003" -0.012 0.003 0.019
"2004" 0.011 0.024 0.038
"2005" 0.029 0.04 0.051
"2006" 0.044 0.054 0.064
"2007" 0.057 0.069 0.08
"2008" 0.071 0.086 0.102
"2009" 0.082 0.102 0.122
"2010" 0.1 0.125 0.151
"2011" 0.117 0.148 0.179
"2012" 0.139 0.176 0.213
"2013" 0.163 0.206 0.249
"2014" 0.184 0.234 0.283
"2015" 0.208 0.264 0.32
"2016" 0.227 0.29 0.353
"2017" 0.246 0.315 0.385
"2018" 0.264 0.341 0.417
"2019" 0.283 0.367 0.45
"2020" 0.303 0.393 0.484
"2021" 0.325 0.424 0.522
"2022" 0.351 0.458 0.564
"2023" 0.378 0.492 0.607
"2024" 0.405 0.527 0.649
"2025" 0.428 0.559 0.689
"2026" 0.449 0.588 0.727
"2027" 0.469 0.616 0.763
"2028" 0.488 0.644 0.8
