"Q05" "mean" "Q95"
"1850" -1.263 -0.863 -0.462
"1851" -1.249 -0.849 -0.449
"1852" -1.239 -0.839 -0.44
"1853" -1.259 -0.863 -0.466
"1854" -1.278 -0.883 -0.488
"1855" -1.274 -0.88 -0.487
"1856" -1.268 -0.876 -0.484
"1857" -1.287 -0.897 -0.506
"1858" -1.281 -0.892 -0.502
"1859" -1.264 -0.875 -0.486
"1860" -1.245 -0.857 -0.468
"1861" -1.241 -0.853 -0.466
"1862" -1.343 -0.958 -0.574
"1863" -1.37 -0.987 -0.603
"1864" -1.35 -0.967 -0.584
"1865" -1.319 -0.937 -0.555
"1866" -1.29 -0.909 -0.527
"1867" -1.267 -0.886 -0.505
"1868" -1.247 -0.867 -0.486
"1869" -1.229 -0.849 -0.469
"1870" -1.215 -0.836 -0.456
"1871" -1.203 -0.824 -0.444
"1872" -1.194 -0.815 -0.436
"1873" -1.222 -0.846 -0.469
"1874" -1.225 -0.849 -0.474
"1875" -1.227 -0.852 -0.477
"1876" -1.225 -0.851 -0.477
"1877" -1.218 -0.844 -0.471
"1878" -1.21 -0.837 -0.464
"1879" -1.202 -0.83 -0.458
"1880" -1.201 -0.83 -0.458
"1881" -1.198 -0.827 -0.457
"1882" -1.189 -0.819 -0.449
"1883" -1.25 -0.882 -0.514
"1884" -1.503 -1.125 -0.747
"1885" -1.547 -1.166 -0.784
"1886" -1.499 -1.123 -0.746
"1887" -1.456 -1.083 -0.71
"1888" -1.397 -1.028 -0.659
"1889" -1.342 -0.977 -0.611
"1890" -1.319 -0.955 -0.591
"1891" -1.327 -0.964 -0.6
"1892" -1.301 -0.94 -0.578
"1893" -1.26 -0.9 -0.54
"1894" -1.225 -0.866 -0.508
"1895" -1.199 -0.842 -0.485
"1896" -1.183 -0.827 -0.471
"1897" -1.171 -0.816 -0.462
"1898" -1.163 -0.809 -0.455
"1899" -1.157 -0.804 -0.452
"1900" -1.152 -0.801 -0.449
"1901" -1.149 -0.799 -0.449
"1902" -1.16 -0.812 -0.463
"1903" -1.286 -0.936 -0.585
"1904" -1.316 -0.965 -0.614
"1905" -1.286 -0.938 -0.589
"1906" -1.242 -0.897 -0.552
"1907" -1.229 -0.886 -0.542
"1908" -1.207 -0.866 -0.524
"1909" -1.18 -0.841 -0.501
"1910" -1.16 -0.823 -0.485
"1911" -1.147 -0.811 -0.475
"1912" -1.202 -0.866 -0.53
"1913" -1.257 -0.92 -0.583
"1914" -1.247 -0.912 -0.576
"1915" -1.208 -0.876 -0.544
"1916" -1.169 -0.84 -0.511
"1917" -1.135 -0.809 -0.482
"1918" -1.108 -0.784 -0.46
"1919" -1.091 -0.769 -0.447
"1920" -1.081 -0.761 -0.44
"1921" -1.074 -0.756 -0.437
"1922" -1.088 -0.771 -0.454
"1923" -1.093 -0.778 -0.462
"1924" -1.082 -0.769 -0.456
"1925" -1.07 -0.759 -0.448
"1926" -1.057 -0.748 -0.439
"1927" -1.042 -0.735 -0.429
"1928" -1.037 -0.732 -0.427
"1929" -1.058 -0.755 -0.451
"1930" -1.044 -0.743 -0.442
"1931" -1.035 -0.736 -0.437
"1932" -1.053 -0.755 -0.457
"1933" -1.048 -0.753 -0.457
"1934" -1.037 -0.743 -0.45
"1935" -1.023 -0.732 -0.441
"1936" -1.004 -0.716 -0.428
"1937" -0.988 -0.703 -0.417
"1938" -0.976 -0.693 -0.41
