"filename","handle"
tas_mon_ACCESS-ESM1-5_ssp245_r8i1p1f1_native.nc,hdl:21.14100/27d95d81-049e-41ad-ac35-2229802b34e0
tas_mon_ACCESS-ESM1-5_ssp245_r9i1p1f1_native.nc,hdl:21.14100/241f2860-cb7b-453b-8572-fdd8f63ada22
tas_mon_AWI-CM-1-1-MR_historical_r1i1p1f1_native.nc,hdl:21.14100/da3fa9d6-2dc3-4193-b973-c748e4a856fb
tas_mon_AWI-CM-1-1-MR_historical_r2i1p1f1_native.nc,hdl:21.14100/f550bade-46c7-4976-962a-c10808c81904
tas_mon_AWI-CM-1-1-MR_historical_r3i1p1f1_native.nc,hdl:21.14100/76189331-a354-4056-b872-2c5c4dae92d6
tas_mon_AWI-CM-1-1-MR_historical_r4i1p1f1_native.nc,hdl:21.14100/254d8356-59a3-4dd7-a7be-5fe6fdbfc4d0
tas_mon_AWI-CM-1-1-MR_historical_r5i1p1f1_native.nc,hdl:21.14100/59bb0d55-9798-4f51-b89b-31bcc3947277
tas_mon_AWI-CM-1-1-MR_ssp245_r1i1p1f1_native.nc,hdl:21.14100/82c0ce5d-c77b-4527-8b19-a333f6e9241a
tas_mon_BCC-CSM2-MR_historical_r1i1p1f1_native.nc,hdl:21.14100/007da5e5-12bb-4fe9-8df9-5cd473280650
tas_mon_BCC-CSM2-MR_historical_r2i1p1f1_native.nc,hdl:21.14100/c7864c96-9f0e-4380-b640-4b9c80699225
tas_mon_BCC-CSM2-MR_historical_r3i1p1f1_native.nc,hdl:21.14100/54ec9725-f5a0-4ac2-b828-844a72371e11
tas_mon_BCC-CSM2-MR_ssp245_r1i1p1f1_native.nc,hdl:21.14100/89c4b5d6-088a-49e9-8cf8-176e6a7b4a59
tas_mon_CAMS-CSM1-0_historical_r1i1p1f1_native.nc,hdl:21.14100/9c0e170e-a3ad-48e7-a8a6-1a109ffe2df8
tas_mon_CAMS-CSM1-0_historical_r2i1p1f1_native.nc,hdl:21.14100/36d027b5-4765-4fa9-9ae4-57ef71a5100a
tas_mon_CAMS-CSM1-0_ssp245_r1i1p1f1_native.nc,hdl:21.14100/af415148-2c79-4d21-9549-b34f1d141f74
tas_mon_CAMS-CSM1-0_ssp245_r2i1p1f1_native.nc,hdl:21.14100/8f291295-d356-4cb6-b117-2172cef4fb9f
tas_mon_CanESM5_historical_r10i1p2f1_native.nc,hdl:21.14100/5331349e-4bf3-4772-90ec-69491dac16c8
tas_mon_CanESM5_historical_r11i1p2f1_native.nc,hdl:21.14100/72c03726-1fcb-4019-afec-6e2fac39f968
tas_mon_CanESM5_historical_r12i1p2f1_native.nc,hdl:21.14100/f576a7fd-7f37-4755-8ae0-ddd94ab7bb54
tas_mon_CanESM5_historical_r13i1p2f1_native.nc,hdl:21.14100/85ee1014-98c3-4b1d-9760-3b1fc1dcb4a1
tas_mon_CanESM5_historical_r14i1p2f1_native.nc,hdl:21.14100/07bf8c80-8aad-4631-9723-3a15e1907451
tas_mon_CanESM5_historical_r15i1p2f1_native.nc,hdl:21.14100/85a7ded0-70ad-488c-8cfc-d6297cbfcf6b
tas_mon_CanESM5_historical_r16i1p2f1_native.nc,hdl:21.14100/7565189d-5393-473e-97ee-22f1be15ab6b
tas_mon_CanESM5_historical_r17i1p2f1_native.nc,hdl:21.14100/2659f45f-8aea-4f8d-adff-fe74e72332e7
tas_mon_CanESM5_historical_r18i1p2f1_native.nc,hdl:21.14100/bab70182-a45c-45e6-99ce-1d9cdf325fb0
tas_mon_CanESM5_historical_r19i1p2f1_native.nc,hdl:21.14100/79b820fa-976f-4bc6-8414-46db098a4d15
tas_mon_CanESM5_historical_r1i1p2f1_native.nc,hdl:21.14100/b337a53b-0203-43cc-9c98-bc1a090f3eab
tas_mon_CanESM5_historical_r20i1p2f1_native.nc,hdl:21.14100/33df14ed-a0e9-4095-ba83-af0bd03f7c73
tas_mon_CanESM5_historical_r21i1p2f1_native.nc,hdl:21.14100/43098891-073a-412b-9eeb-30267e9c6e5d
tas_mon_CanESM5_historical_r22i1p2f1_native.nc,hdl:21.14100/365e0059-6b01-4d61-b7d9-1592187fbdae
tas_mon_CanESM5_historical_r23i1p2f1_native.nc,hdl:21.14100/32b2e49b-1bec-4887-86ec-c891563fe6d8
tas_mon_CanESM5_historical_r24i1p2f1_native.nc,hdl:21.14100/2ec99f7f-5462-42ae-8e4f-eecfb4c23d68
tas_mon_CanESM5_historical_r25i1p2f1_native.nc,hdl:21.14100/89adaba5-2803-4585-a8ee-8c52f5116803
tas_mon_CanESM5_historical_r26i1p2f1_native.nc,hdl:21.14100/681e8844-81d0-4aaf-8af8-ce5a55d3bff3
