year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2080,1.406904876,2.423763801,1.300018684,2.783849709,1.947286067,1.897294238
2081,1.419670805,2.440749476,1.305559035,2.807636505,1.963676914,1.916351486
2082,1.433638619,2.458398095,1.31437064,2.83364565,1.982001839,1.935881118
2083,1.441493199,2.474590395,1.323765779,2.854005304,1.9980897,1.953841713
2084,1.449672727,2.489093657,1.32989793,2.878335749,2.01347633,1.966261067
2085,1.456626912,2.505243291,1.332390433,2.906612253,2.03043156,1.978449078
2086,1.463007691,2.521119325,1.338944506,2.929200377,2.048227157,1.994424878
2087,1.470141322,2.53375127,1.34904992,2.954096574,2.064463657,2.009046347
2088,1.485310562,2.545820164,1.35921306,2.970878384,2.078423156,2.017369911
2089,1.499120063,2.561731361,1.362700309,2.993331579,2.091620431,2.026193628
2090,1.512018788,2.577817168,1.368620203,3.014662969,2.105574344,2.033700326
