year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.094641359,0.187529645,0.07195239,0.231550281,0.140901972,0.140879271
2011,0.117190013,0.213180558,0.088359558,0.274009895,0.166363669,0.164493025
2012,0.138813284,0.242906502,0.103677519,0.315147761,0.190164482,0.18017546
2013,0.156137056,0.268979252,0.117135817,0.356425143,0.214139602,0.203173937
2014,0.176897025,0.298113225,0.1255189,0.392367976,0.237617354,0.228663175
2015,0.189315131,0.328622342,0.144376228,0.433313921,0.260773085,0.250829493
2016,0.197386315,0.358145317,0.165527996,0.483067306,0.285676348,0.272874815
2017,0.218198312,0.390182872,0.180176007,0.534571393,0.314766343,0.300855307
2018,0.24542974,0.428622786,0.193332227,0.583764159,0.343846021,0.332073006
2019,0.265623343,0.468303773,0.212383328,0.629942282,0.372330486,0.364297833
2020,0.285699772,0.508112012,0.226180282,0.677504228,0.400932874,0.387514463
2021,0.301982534,0.543464429,0.252813286,0.724365874,0.429543236,0.402841692
2022,0.313181936,0.581142783,0.272497261,0.771775408,0.458561408,0.432732915
2023,0.330156394,0.61659113,0.288178554,0.819282946,0.488290167,0.461325311
2024,0.360289516,0.657349435,0.305288888,0.865973767,0.517696251,0.492645759
2025,0.380962158,0.693762398,0.328814905,0.912362416,0.546586875,0.519383196
2026,0.400451631,0.731848507,0.359823375,0.961755516,0.575823989,0.550475473
2027,0.419351444,0.763336916,0.374447022,1.01410423,0.607566051,0.58222579
2028,0.444588748,0.796917199,0.38445511,1.06545643,0.639745406,0.617924714
2029,0.464254812,0.830222189,0.396602293,1.117232019,0.671832306,0.655250845
2030,0.483226109,0.867997218,0.419847693,1.170837373,0.704646711,0.69038027
2031,0.510340736,0.910404899,0.44052534,1.226622437,0.738147435,0.725495615
2032,0.538635959,0.947549828,0.466872835,1.284630184,0.770946653,0.758831811
2033,0.563866563,0.992313915,0.490091144,1.336325804,0.805407936,0.795564328
2034,0.596786672,1.035361255,0.511254842,1.387297416,0.840512233,0.827071168
2035,0.625727168,1.079242409,0.533602092,1.441020051,0.874892542,0.855351858
2036,0.656016831,1.124231383,0.56543723,1.492906137,0.909728208,0.88948308
2037,0.686759621,1.167638563,0.581800789,1.544143248,0.943186973,0.917584283
2038,0.710670153,1.211070566,0.594279085,1.595370406,0.976432465,0.950714083
2039,0.73510196,1.249220332,0.623953586,1.647531012,1.011706914,0.984866236
2040,0.759549123,1.291756544,0.66632204,1.70396782,1.049734155,1.017472542
2041,0.787462784,1.337547035,0.705451083,1.758394811,1.08755115,1.04928556
2042,0.818681353,1.381397825,0.738904366,1.812155445,1.125378863,1.093337705
2043,0.851966554,1.422529688,0.76494868,1.866628086,1.161754835,1.130134786
2044,0.886304692,1.465326943,0.798436588,1.922602558,1.198484469,1.162961719
2045,0.923943952,1.509094605,0.826928182,1.977672705,1.236111714,1.194780105
2046,0.953016972,1.551796549,0.855397483,2.031054125,1.273920358,1.237006828
2047,0.981958265,1.599588853,0.888071102,2.082621554,1.309959896,1.276025443
2048,1.006336919,1.644532141,0.918214024,2.138648485,1.34654771,1.309936817
2049,1.032824518,1.688917755,0.947261051,2.198466849,1.384295803,1.344878229
2050,1.06585307,1.734634951,0.967928694,2.261213386,1.422076219,1.385231619
2051,1.098274853,1.777014325,0.994404411,2.322631944,1.460300548,1.429503805
2052,1.131681451,1.823204317,1.020407204,2.387555884,1.500016373,1.468605532
2053,1.164486172,1.867893336,1.047597086,2.447853503,1.539508848,1.51426447
2054,1.196605832,1.914654751,1.07469202,2.51100179,1.576813878,1.554660171
2055,1.23189118,1.961028403,1.107052534,2.570344379,1.615192726,1.590715995
2056,1.259485252,2.006577948,1.145279218,2.627769304,1.654564914,1.634597234
2057,1.290586611,2.05369445,1.18006504,2.685434291,1.695053194,1.674604869
2058,1.317481788,2.101402229,1.213675567,2.745500362,1.736604391,1.71382169
2059,1.346883651,2.151453053,1.241611213,2.803025391,1.777438099,1.753504131
2060,1.382575907,2.200206417,1.261011481,2.85926094,1.817500381,1.789052317
