year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2061,1.418456584,2.245576679,1.280562814,2.914618157,1.857416644,1.82452457
2062,1.452923372,2.293465613,1.3029122,2.973312577,1.897552194,1.861889401
2063,1.485434917,2.340728202,1.331599357,3.033245806,1.938256405,1.880832373
2064,1.520081726,2.388730771,1.35104786,3.094288084,1.979560618,1.890207025
2065,1.554960429,2.438493957,1.371943506,3.15714096,2.021628485,1.923336823
2066,1.587803183,2.49001279,1.399461638,3.218483248,2.064491442,1.979015801
2067,1.623107501,2.534151619,1.431234275,3.281303689,2.10716155,2.030074282
2068,1.654246432,2.583746231,1.456251973,3.343191744,2.14775251,2.067060741
2069,1.683702621,2.637179183,1.481046064,3.406508607,2.187985231,2.107459246
2070,1.71625727,2.683850198,1.516511384,3.467491906,2.230168049,2.142155841
2071,1.75137352,2.736093022,1.542660317,3.530088008,2.273131471,2.177015333
2072,1.786047701,2.780103462,1.567608578,3.590083685,2.316239873,2.217099012
2073,1.819364196,2.829579033,1.59514805,3.655366982,2.358826582,2.247506856
2074,1.851521158,2.880200762,1.647634144,3.712175184,2.40308736,2.293422744
2075,1.890626833,2.925877847,1.702211263,3.771294325,2.447680159,2.35015265
2076,1.931007111,2.982141836,1.741179334,3.832098213,2.493510384,2.41240061
2077,1.965553541,3.030289043,1.757930971,3.895638387,2.537143873,2.464343227
2078,1.997385573,3.07414654,1.789563542,3.955756185,2.579321915,2.492159303
2079,2.027439954,3.124260209,1.839100905,4.015879445,2.623828754,2.508040198
2080,2.063159578,3.175234686,1.88194379,4.073035542,2.668462321,2.541988016
2081,2.098191153,3.222403727,1.911498006,4.134760358,2.712815885,2.606091184
2082,2.133252754,3.269430728,1.938854076,4.197377677,2.756683481,2.639515449
2083,2.169162131,3.323365418,1.977294435,4.262403839,2.801021283,2.67439554
2084,2.204977863,3.381505615,2.013404717,4.325702792,2.845943887,2.707865506
2085,2.240197267,3.438155814,2.043382057,4.384163282,2.890397236,2.751119104
2086,2.279408283,3.491480113,2.068229204,4.448232762,2.93491835,2.798561153
2087,2.317216769,3.55117688,2.114129175,4.51770991,2.980987694,2.837489671
2088,2.353559336,3.607665384,2.171524694,4.585399942,3.028129166,2.877933106
2089,2.38982575,3.663729156,2.216067372,4.643245896,3.074652367,2.922344647
2090,2.42540219,3.721750446,2.258178333,4.703039468,3.121411327,2.965854763
