year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean ,median
2080,0.717908372,1.660982598,0.649056851,2.010115509,1.206797924,1.158953727
2081,0.716572304,1.66108174,0.64762048,2.016556944,1.205961186,1.158070007
2082,0.722204655,1.66181302,0.645047112,2.016513351,1.205569943,1.162098168
2083,0.722403066,1.6628788,0.638882725,2.018975126,1.205021826,1.160026871
2084,0.719365743,1.66120871,0.637366613,2.021181027,1.203029661,1.154554013
2085,0.714187865,1.661857004,0.633734883,2.020362421,1.201376918,1.155236506
2086,0.710517892,1.659707053,0.631490569,2.019900369,1.200435349,1.149983344
2087,0.695933588,1.67214186,0.624426309,2.021390515,1.197745163,1.144413965
2088,0.690785565,1.682558787,0.617253725,2.02054023,1.194235124,1.138737724
2089,0.68704934,1.690644819,0.612239271,2.022745633,1.19312548,1.130992205
2090,0.684397359,1.698132695,0.606163018,2.028103824,1.192356725,1.123994237
