year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.077573936,0.1394926,0.054798735,0.161623214,0.108531778,0.108693223
2011,0.093726818,0.168482445,0.066195609,0.195311431,0.131101226,0.131299444
2012,0.110712168,0.194994634,0.079863934,0.225303899,0.152808891,0.152971393
2013,0.128848708,0.221234898,0.094780229,0.254443181,0.17500023,0.175231349
2014,0.145535359,0.248832011,0.107520185,0.286029796,0.197137634,0.197372586
2015,0.16171543,0.280054293,0.118007745,0.322285695,0.220784109,0.221154907
2016,0.178619555,0.311898865,0.129418757,0.359675565,0.245248798,0.245687225
2017,0.198098135,0.342896387,0.145139663,0.39465035,0.270527802,0.270920971
2018,0.214806574,0.370991876,0.157306635,0.427036442,0.292787196,0.293156985
2019,0.230859114,0.401477221,0.168071332,0.462891981,0.316210429,0.316749636
2020,0.249608565,0.43426215,0.181813108,0.500405964,0.341875185,0.342440997
2021,0.266076772,0.46650743,0.192454548,0.538086173,0.366225586,0.366684565
2022,0.283844475,0.499040997,0.2048076,0.576000838,0.391366849,0.391909117
2023,0.300421869,0.531207177,0.215385745,0.614006424,0.415829693,0.416469467
2024,0.316631285,0.564106675,0.22541701,0.653520073,0.440432983,0.441100654
2025,0.332943954,0.59714662,0.23585126,0.691924751,0.465108496,0.465864547
2026,0.350378979,0.628336769,0.248589352,0.727726958,0.4893113,0.489860175
2027,0.368101744,0.657043882,0.262043325,0.760975094,0.512651838,0.513393332
2028,0.385400072,0.685706773,0.274845095,0.793671225,0.535569106,0.536364371
2029,0.405867035,0.716599139,0.291298507,0.828519474,0.561170335,0.562096908
2030,0.424887922,0.744139685,0.307488247,0.85807998,0.584636089,0.585679569
2031,0.438298636,0.767536534,0.317528394,0.885847016,0.602919294,0.603703964
2032,0.451521764,0.793451109,0.325774501,0.91641898,0.622366975,0.622987726
2033,0.465873038,0.818492182,0.33663983,0.944747572,0.64201646,0.642907082
2034,0.47831165,0.840819281,0.345578909,0.970344152,0.659553428,0.660390254
2035,0.487774651,0.860435903,0.350017169,0.994301932,0.674022899,0.674995924
2036,0.497787143,0.881478563,0.356293685,1.0181921,0.689442133,0.690385036
2037,0.506292046,0.902695633,0.360186496,1.0452444,0.704486321,0.705533433
2038,0.517264638,0.926020873,0.367143414,1.072341493,0.721355879,0.722084053
2039,0.529563266,0.945420731,0.376409781,1.094825661,0.737129014,0.737806422
2040,0.538678497,0.963926053,0.381965551,1.116133482,0.751173144,0.752285139
2041,0.549126026,0.984905493,0.388201905,1.141706855,0.766775236,0.767799935
2042,0.557433041,1.005974311,0.392384762,1.166973389,0.781643556,0.782679524
2043,0.561482519,1.024411015,0.391182126,1.1914229,0.793388461,0.794710421
2044,0.565609736,1.039828201,0.391617184,1.210025011,0.802735678,0.803823044
2045,0.571846267,1.054188305,0.394376772,1.227079843,0.812719241,0.81381199
2046,0.575958835,1.069452303,0.395083317,1.246366306,0.822762465,0.824380113
2047,0.581878676,1.085472427,0.396730451,1.265684264,0.833465783,0.834884014
