year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2048,0.58598919,1.101190986,0.396240884,1.286253503,0.843607001,0.845167071
2049,0.588061115,1.115187308,0.394272783,1.304952585,0.851960142,0.853396917
2050,0.591961912,1.128352344,0.394195072,1.321087025,0.860001106,0.861385856
2051,0.59849695,1.141760407,0.398689097,1.336678701,0.870206778,0.871803259
2052,0.603299701,1.153576153,0.401313987,1.34993069,0.878087463,0.879467488
2053,0.605587864,1.162046325,0.400972147,1.360958746,0.883706288,0.885197866
2054,0.607682813,1.172966024,0.399969654,1.37557738,0.890275131,0.891637633
2055,0.610972422,1.183801332,0.400850313,1.389531319,0.897420045,0.898850692
2056,0.614089046,1.192399214,0.401980235,1.399670819,0.9034091,0.905016441
2057,0.619233286,1.201656085,0.404605472,1.410902701,0.910242763,0.911739162
2058,0.620994701,1.210366846,0.403566497,1.422164776,0.915596057,0.917007786
2059,0.621300211,1.218611043,0.401099408,1.433351022,0.919659249,0.920726633
2060,0.62257609,1.226800834,0.399956,1.44324811,0.924284335,0.925421767
2061,0.624365234,1.232155822,0.400083769,1.450735491,0.927937725,0.929306519
2062,0.625137741,1.236996277,0.400340721,1.455895927,0.930814493,0.932625822
2063,0.629471717,1.242422827,0.404144274,1.46232656,0.935474521,0.936551693
2064,0.631065687,1.248240611,0.404626993,1.469974843,0.939532171,0.940926136
2065,0.633536626,1.256202711,0.40462465,1.479562514,0.94464531,0.946685207
2066,0.632052246,1.259782253,0.401280686,1.484966513,0.945636167,0.947474338
2067,0.631356729,1.263190944,0.399429666,1.4904607,0.947271773,0.948804053
2068,0.632460033,1.26645091,0.398582339,1.493439337,0.949249034,0.951232545
2069,0.633895624,1.271877624,0.399899063,1.501441359,0.952712885,0.954155034
2070,0.632854146,1.278827376,0.394633082,1.509042101,0.955161732,0.956479949
2071,0.629773125,1.283570295,0.389235857,1.517511506,0.956432637,0.958423343
2072,0.627275174,1.286761335,0.385557688,1.52339708,0.956965453,0.958551598
2073,0.625459079,1.291163106,0.380996351,1.529253957,0.957967522,0.959289561
2074,0.623227293,1.295138405,0.377997245,1.53658594,0.959378844,0.960939221
2075,0.620850791,1.298952125,0.371374462,1.541253812,0.959651282,0.961406773
2076,0.616542832,1.301889585,0.365770406,1.547158507,0.958935614,0.96055938
2077,0.611372373,1.30160862,0.358110974,1.548891184,0.956454235,0.958468879
2078,0.608290081,1.304103101,0.3521409,1.553286758,0.955882509,0.957800893
2079,0.603331852,1.306525997,0.345138165,1.557968558,0.954728238,0.956398751
2080,0.60129123,1.305343141,0.342824894,1.557483249,0.953494868,0.955349904
2081,0.595188595,1.305899533,0.334050625,1.561059213,0.950743711,0.952882748
2082,0.592465421,1.308983036,0.328948775,1.566599476,0.950884539,0.952889785
2083,0.587212146,1.311311722,0.321306519,1.569896573,0.94910542,0.950845611
2084,0.581216338,1.311640564,0.312191165,1.573845617,0.946391322,0.948336436
2085,0.5749599,1.312970373,0.30570633,1.577999285,0.943694605,0.945480902
2086,0.569801708,1.316810396,0.296572425,1.583795653,0.943270041,0.945229522
2087,0.560685432,1.317973507,0.283531388,1.58939321,0.939347308,0.941336328
2088,0.550787881,1.316559337,0.269295321,1.590698284,0.933909073,0.936248354
2089,0.546182602,1.315781707,0.263890383,1.593144954,0.931019928,0.933031096
2090,0.541021528,1.314584472,0.255511745,1.592628467,0.927737678,0.929743555
