year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.104647431,0.180825765,0.082353362,0.224651139,0.138791298,0.134769142
2011,0.132399534,0.209474491,0.106553879,0.26633419,0.166177946,0.153581306
2012,0.15057625,0.240477982,0.127432428,0.305290084,0.190478863,0.169317769
2013,0.158245786,0.273232535,0.146122894,0.343688347,0.215592542,0.199240729
2014,0.170164036,0.306919122,0.164406047,0.380944603,0.240531363,0.224136788
2015,0.18474205,0.341337718,0.175669947,0.422306159,0.264912127,0.24030148
2016,0.202617806,0.376733829,0.187608452,0.474904692,0.293297091,0.269886656
2017,0.225653852,0.415862913,0.201316978,0.524845466,0.323926346,0.300771482
2018,0.248054938,0.458135509,0.222467225,0.570842025,0.355064303,0.326335288
2019,0.261903004,0.494929205,0.241877342,0.617134127,0.382756122,0.348134045
2020,0.279247713,0.526313071,0.25224516,0.665409515,0.409342889,0.367991618
2021,0.314479392,0.562781735,0.265571413,0.713013514,0.441303573,0.39164178
2022,0.336159153,0.597743926,0.271500433,0.75674743,0.471668382,0.424488682
2023,0.349097661,0.626414922,0.269248244,0.80011851,0.497597484,0.453458642
2024,0.352929248,0.658986953,0.280296536,0.846219667,0.522350843,0.48154497
2025,0.3661789,0.691075388,0.288508235,0.889403909,0.55100996,0.521174331
2026,0.40267261,0.725144761,0.300471714,0.927811208,0.582665787,0.577188782
2027,0.427923419,0.754710821,0.316192381,0.96584005,0.612094494,0.617775741
2028,0.444876351,0.786776951,0.324489914,1.007680574,0.636054881,0.648832841
2029,0.46627014,0.819404721,0.329763317,1.048997851,0.660318445,0.655297512
2030,0.477079532,0.851192761,0.346451137,1.090513048,0.683693815,0.66416822
2031,0.47181878,0.878004163,0.348952569,1.126658239,0.702928879,0.697233391
2032,0.482131069,0.907287206,0.348329221,1.160312313,0.723121712,0.739659784
2033,0.496658236,0.933631541,0.355282752,1.193572329,0.742791095,0.755321806
2034,0.517568311,0.959072468,0.35601443,1.225968259,0.759007848,0.768176245
2035,0.53745227,0.980472792,0.346726334,1.253601594,0.774627187,0.782936859
2036,0.549775832,0.997465711,0.349689207,1.276147807,0.790167409,0.794894751
2037,0.557989824,1.01499561,0.353325288,1.300208717,0.80263408,0.801356094
2038,0.567108646,1.032419014,0.346790543,1.324132536,0.81230936,0.800609041
2039,0.582645343,1.052691945,0.347100222,1.34492941,0.825219119,0.814462128
2040,0.581787819,1.067856274,0.353835771,1.362934845,0.836537534,0.82699787
2041,0.571043739,1.079541009,0.353584441,1.37887013,0.842921182,0.829449378
2042,0.578155168,1.091741517,0.356878614,1.392115499,0.850319177,0.838539907
2043,0.593074237,1.103892923,0.368444604,1.406290863,0.858966036,0.839396965
2044,0.596817172,1.118209882,0.36669031,1.419251935,0.866355019,0.841444851
2045,0.58567912,1.130391262,0.362636713,1.429020727,0.870813051,0.84715149
2046,0.572644562,1.13838594,0.357261285,1.4443816,0.869437302,0.846130274
2047,0.579701906,1.145583219,0.342229612,1.459653411,0.870068625,0.845853662
2048,0.583975828,1.149332212,0.331051766,1.470296705,0.871966762,0.845646831
2049,0.584940711,1.149018168,0.32387169,1.476173148,0.871799267,0.84296107
2050,0.590941835,1.146846688,0.316616218,1.481901219,0.872727558,0.844727258
2051,0.591516643,1.146403742,0.301255156,1.489509187,0.872807786,0.847966374
2052,0.594711462,1.144662761,0.293071088,1.496782954,0.871218356,0.843290938
2053,0.597143729,1.142247916,0.28062829,1.504037796,0.869937616,0.83184007
2054,0.596540305,1.140014199,0.275380235,1.507480735,0.870680618,0.830990187
2055,0.584809824,1.139767285,0.27037247,1.510773249,0.867330143,0.831462524
2056,0.576146676,1.136278639,0.24908512,1.515120481,0.861280197,0.830954121
2057,0.561356689,1.130742742,0.237014561,1.519773272,0.857677926,0.830583167
2058,0.546241548,1.12309931,0.229994112,1.52140141,0.856169447,0.836295927
2059,0.548110349,1.111171903,0.217063894,1.527307125,0.852465406,0.83900777
2060,0.544377257,1.103603817,0.20625151,1.534934529,0.849526094,0.832177141
2061,0.539012013,1.099052035,0.189472522,1.538850033,0.847346845,0.835667631
