year,raw 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2062,0.533022647,1.093910862,0.178723388,1.542787717,0.844792127,0.844173746
2063,0.516983153,1.089567702,0.167023984,1.53966625,0.838820766,0.852491638
2064,0.505914675,1.07986512,0.158326698,1.535058198,0.832715377,0.861187153
2065,0.498107482,1.06958641,0.147381394,1.537967732,0.828188945,0.861691422
2066,0.49247988,1.062283201,0.143352506,1.537207548,0.82691065,0.8607678
2067,0.490238465,1.055138377,0.142440296,1.530235504,0.824725209,0.852264736
2068,0.487689485,1.054353098,0.137550824,1.525859366,0.820935307,0.835959938
2069,0.47493917,1.053785289,0.137236326,1.527610134,0.818946186,0.827366862
2070,0.467866379,1.055345223,0.131075646,1.528267835,0.8162088,0.82264302
2071,0.470233488,1.054920827,0.133410393,1.526007505,0.814484587,0.832163798
2072,0.460880428,1.05471063,0.14106923,1.524736594,0.812245248,0.827212834
2073,0.450781755,1.056991482,0.150510026,1.526486147,0.81018973,0.818819328
2074,0.44673564,1.055882549,0.146863056,1.528735887,0.807844535,0.821638871
2075,0.442226868,1.057074891,0.152392965,1.526463182,0.807877034,0.810768371
2076,0.436222872,1.058994777,0.160764803,1.521670014,0.805174823,0.802167875
2077,0.43706728,1.059843663,0.157103026,1.516715945,0.801854942,0.799953164
2078,0.429537552,1.059069393,0.162224941,1.513364518,0.796614135,0.799875977
2079,0.420555553,1.057369053,0.167176818,1.506489136,0.789389725,0.789137439
2080,0.416283531,1.056144037,0.170544834,1.500417048,0.783166702,0.784538434
2081,0.412421824,1.052123464,0.179479194,1.496510831,0.780068738,0.783882605
2082,0.407102274,1.04973365,0.179599002,1.493770594,0.776437751,0.774312439
2083,0.411210332,1.046017395,0.181266315,1.492519217,0.771996409,0.774993092
2084,0.408383847,1.043518118,0.187115353,1.493025523,0.767435756,0.779807258
2085,0.40337226,1.04033687,0.192232319,1.491818766,0.765158195,0.777871716
2086,0.402372018,1.034768829,0.188067419,1.489774168,0.760603922,0.781061943
2087,0.400723353,1.029231945,0.181153262,1.491377629,0.754095273,0.786052498
2088,0.397420611,1.020435121,0.183490522,1.490448505,0.748333866,0.778612253
2089,0.3903771,1.011976598,0.179899062,1.488428881,0.74019452,0.768565619
2090,0.382962002,1.004305931,0.176945674,1.484255405,0.731734506,0.741897787
