year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.080082413,0.140625696,0.057812356,0.162476218,0.110356154,0.110489938
2011,0.095665453,0.171010911,0.067891123,0.198171625,0.133317849,0.133468284
2012,0.110199639,0.197468307,0.078184598,0.228896558,0.153856428,0.154049873
2013,0.126056308,0.224875852,0.0897427,0.260325881,0.17545617,0.175707522
2014,0.140831091,0.252864679,0.099655998,0.293242336,0.196790028,0.196991808
2015,0.155674032,0.27976117,0.109946683,0.324318952,0.217628951,0.217901361
2016,0.170953034,0.3087091,0.120186377,0.357898042,0.239845217,0.240284605
2017,0.188585295,0.339623434,0.132967426,0.394177768,0.264111745,0.264476791
2018,0.203409243,0.369672379,0.142361964,0.429610265,0.286523555,0.286878197
2019,0.218465922,0.40198627,0.151111576,0.468007499,0.310276868,0.310802971
2020,0.239655404,0.437959338,0.166806767,0.508876289,0.33869087,0.339212137
2021,0.260467878,0.469356428,0.183457285,0.544735588,0.364915814,0.365483211
2022,0.280489237,0.501383864,0.199724414,0.580238868,0.390877851,0.391500984
2023,0.298591671,0.534509712,0.211945666,0.61931018,0.416534816,0.417177096
2024,0.315973948,0.56721185,0.223504201,0.658092235,0.441638208,0.442322273
2025,0.334401057,0.59881714,0.237272827,0.692949587,0.466381483,0.467119992
2026,0.353592301,0.629640141,0.252491984,0.729131319,0.49154371,0.492160313
2027,0.374331155,0.663702212,0.267892304,0.767255591,0.518810634,0.51931669
2028,0.396446458,0.696521045,0.286567516,0.803803865,0.54648498,0.547382192
2029,0.422081168,0.728047194,0.310096627,0.837949923,0.574968365,0.575741737
2030,0.443870371,0.757890434,0.328181261,0.870836013,0.600829083,0.601573811
2031,0.462537757,0.787493992,0.343285778,0.904273377,0.624982832,0.625737361
2032,0.480997113,0.815865264,0.357040835,0.936160487,0.648365358,0.64943788
2033,0.499280684,0.844354584,0.372753126,0.967590499,0.671762659,0.672392618
2034,0.51841382,0.873106583,0.388011316,1.000253176,0.695721825,0.696762275
2035,0.537070334,0.900139829,0.403088726,1.030989204,0.718606203,0.719550608
2036,0.556848253,0.926531659,0.420796176,1.059046131,0.741605715,0.742228905
2037,0.577886896,0.954853969,0.439703756,1.089856711,0.76631614,0.767073334
