year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2038,0.599156075,0.985133219,0.458256791,1.123883186,0.792184766,0.792862682
2039,0.622545208,1.014410023,0.479349095,1.155267684,0.818389149,0.819246932
2040,0.640939833,1.04050101,0.494460984,1.183230876,0.84068897,0.841830131
2041,0.657772248,1.068784758,0.506654169,1.216892878,0.86334457,0.864553819
2042,0.676365387,1.099916015,0.520165838,1.251744548,0.888101553,0.889263597
2043,0.696270652,1.132385715,0.536234866,1.289384161,0.914282625,0.91523178
2044,0.714297257,1.160757242,0.550733746,1.321333667,0.937643986,0.938711971
2045,0.733400751,1.19030886,0.565943164,1.354932333,0.961893724,0.962958844
2046,0.751429481,1.221096501,0.577992988,1.389540287,0.986006058,0.987139228
2047,0.767353931,1.250168019,0.589948986,1.423393344,1.00887593,1.010280206
2048,0.784476046,1.280333089,0.602445417,1.458322375,1.03223887,1.033533284
2049,0.79963507,1.30758567,0.613197894,1.490674914,1.053621026,1.054953825
2050,0.817302753,1.336852932,0.626766971,1.523094264,1.077111859,1.078098076
2051,0.836889247,1.367870488,0.642061696,1.558038411,1.102251226,1.103469826
2052,0.855474613,1.396846684,0.657701828,1.591467606,1.126086152,1.127024654
2053,0.874240957,1.424156394,0.672722054,1.621423712,1.149165079,1.150353155
2054,0.892068515,1.448314902,0.687904633,1.648730177,1.170157598,1.171088841
2055,0.912674299,1.475298588,0.705064749,1.678014746,1.193730017,1.19490054
2056,0.93069144,1.504672576,0.719384348,1.710182711,1.217480659,1.218719506
2057,0.947554705,1.529988758,0.734199451,1.739486022,1.238566309,1.239306157
2058,0.963437121,1.552787265,0.747228226,1.76480816,1.257735302,1.25880349
2059,0.9783232,1.576070992,0.759136308,1.79164124,1.277260414,1.278480607
2060,0.996012593,1.603108815,0.774022748,1.821390006,1.299717297,1.301052219
2061,1.015511426,1.630334511,0.78929416,1.85075039,1.322703391,1.324175396
2062,1.030199763,1.653523433,0.80202975,1.878267533,1.34173591,1.342806646
2063,1.045991907,1.675981677,0.814849624,1.902601188,1.360807108,1.36220482
2064,1.064210015,1.70066351,0.830651713,1.930356061,1.382075698,1.38320151
2065,1.07805481,1.724708179,0.840740231,1.956649417,1.401124212,1.40282249
2066,1.094051307,1.74519414,0.853724989,1.97976714,1.419279378,1.420785885
2067,1.107175527,1.766729048,0.865933025,2.004516551,1.437134343,1.438403891
2068,1.121478841,1.787729549,0.87538427,2.02760225,1.45439542,1.455990026
2069,1.136330145,1.808378421,0.890194716,2.050172621,1.472257668,1.473799099
2070,1.147655533,1.827560342,0.89716432,2.071933953,1.487196784,1.488609412
2071,1.157016087,1.847783342,0.903284524,2.096651081,1.50221694,1.504200533
2072,1.170415721,1.870116144,0.913845,2.121542042,1.520066319,1.521529541
2073,1.186398582,1.893664654,0.926486998,2.147253899,1.539981836,1.541896538
2074,1.196970281,1.914765513,0.933869581,2.172745562,1.555742642,1.557643387
2075,1.20919468,1.936218371,0.941878643,2.197130339,1.572923665,1.574968829
2076,1.22068693,1.95550148,0.951278264,2.220833974,1.588154997,1.589505243
2077,1.233035871,1.977930089,0.958941943,2.245857417,1.605156292,1.606956818
2078,1.245730411,2.001263605,0.96796959,2.272745488,1.623411913,1.625310564
2079,1.256480246,2.019750793,0.976223878,2.294399741,1.638247875,1.639876574
2080,1.265688793,2.036736506,0.982669289,2.314343157,1.651145665,1.652380451
2081,1.273551569,2.056843007,0.986952113,2.338404148,1.665318639,1.66668557
2082,1.284945319,2.079385035,0.993206993,2.363323421,1.681642103,1.683477939
2083,1.294608096,2.097487277,0.99771696,2.387457246,1.695684476,1.696838705
2084,1.303264172,2.114073611,1.003408043,2.40682441,1.70862745,1.710929028
2085,1.31178188,2.132798537,1.009587243,2.427838723,1.722063833,1.723958242
2086,1.324784622,2.152548034,1.01961316,2.450734602,1.738388927,1.740095907
2087,1.33371147,2.173165494,1.026709493,2.474265304,1.753468616,1.755415825
2088,1.342982289,2.193166579,1.03082589,2.498703633,1.767521108,1.769185075
2089,1.34744297,2.209727284,1.031321156,2.518865846,1.777824215,1.780242686
2090,1.35326145,2.226922474,1.034366728,2.540091451,1.789798432,1.79151519
