year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2058,1.142167872,1.784418768,0.905740389,2.014906604,1.463105518,1.464459763
2059,1.172098344,1.824328974,0.931786834,2.05916785,1.498166658,1.499321688
2060,1.199083677,1.865039153,0.953715197,2.105980094,1.531869696,1.53300609
2061,1.223697242,1.906438033,0.973994631,2.150221286,1.564853888,1.566304609
2062,1.253453145,1.947548155,0.99744683,2.196879322,1.600447168,1.602567052
2063,1.282846589,1.988981303,1.024836937,2.241728395,1.635552583,1.637513235
2064,1.31233893,2.029877045,1.047657687,2.287582971,1.670606687,1.672503096
2065,1.340465246,2.072410377,1.071382049,2.336153347,1.705862083,1.707177456
2066,1.370513495,2.115124234,1.097037173,2.381456312,1.742647688,1.744198979
2067,1.399566053,2.159157019,1.120139665,2.430709922,1.778761373,1.780282837
2068,1.425406333,2.200745791,1.139921135,2.477621415,1.812770062,1.815301606
2069,1.45159717,2.243101696,1.15984348,2.527765955,1.846978585,1.849077493
2070,1.483821093,2.284082212,1.18957806,2.571715299,1.883736467,1.885791492
2071,1.517131518,2.325527791,1.219086566,2.616894412,1.921278764,1.924220258
2072,1.548675692,2.369126364,1.248541829,2.663239657,1.958616389,1.959763919
2073,1.578214512,2.410445058,1.271118145,2.710332713,1.994172561,1.996307822
2074,1.61258906,2.45222957,1.303823224,2.754140533,2.032484427,2.034731045
2075,1.646206818,2.496576075,1.332436324,2.802469945,2.07109956,2.073283603
2076,1.680250336,2.543246403,1.362194509,2.85425669,2.111639847,2.113481011
2077,1.708995343,2.5901091,1.383580577,2.906874104,2.14987159,2.152634844
2078,1.737380387,2.633128077,1.4068937,2.953845254,2.184728161,2.187086955
2079,1.770431332,2.678088811,1.435831752,3.003932219,2.224037666,2.225952059
2080,1.80443887,2.724408305,1.4662833,3.054631304,2.26400891,2.265881566
2081,1.835819781,2.769751741,1.491504545,3.104273007,2.302561668,2.305478085
2082,1.864676962,2.812018578,1.517884965,3.150849188,2.338284428,2.340512919
2083,1.898416576,2.85858919,1.543765578,3.204090289,2.377918154,2.37992735
2084,1.927908611,2.907131881,1.566998431,3.258028066,2.417674232,2.420887563
2085,1.959651815,2.954792305,1.5927565,3.312771215,2.4569471,2.459516801
2086,1.991350269,3.000510529,1.619156486,3.365340641,2.495636652,2.49841357
2087,2.020127204,3.050036613,1.642982309,3.417607724,2.53448026,2.537069505
2088,2.056935585,3.099166889,1.673460698,3.472516969,2.577698056,2.580541658
2089,2.088957984,3.145065335,1.700494183,3.52271906,2.616707059,2.619298864
2090,2.122450578,3.192006741,1.728579605,3.577818972,2.656888862,2.659563723
