year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2010,0.093219629,0.148505622,0.072760188,0.168365905,0.120859218,0.121024384
2011,0.114881507,0.177606913,0.091572496,0.200166843,0.146200322,0.14636248
2012,0.132304692,0.203076691,0.106082756,0.228505343,0.167669414,0.167863737
2013,0.148367357,0.232160573,0.117410356,0.262247032,0.190256576,0.190548097
2014,0.164166558,0.260870208,0.128433035,0.295473531,0.21250746,0.212831719
2015,0.175867741,0.290248493,0.133639589,0.331166566,0.23302526,0.233379213
2016,0.19464604,0.320243472,0.148102334,0.365417188,0.257417353,0.257861193
2017,0.215892265,0.352560241,0.165138075,0.401612409,0.284182804,0.28465208
2018,0.238069678,0.387128496,0.183031511,0.440416353,0.312529419,0.312957136
2019,0.255150911,0.419109471,0.194384767,0.477904641,0.337089489,0.337513877
2020,0.268802854,0.451671124,0.201468589,0.517466441,0.360231094,0.360768526
2021,0.291710166,0.490506464,0.21825618,0.561563063,0.390904127,0.391451373
2022,0.310303431,0.528858741,0.229836838,0.607203447,0.419632711,0.420445446
2023,0.322160143,0.564275589,0.232672114,0.651023277,0.443074523,0.443777109
2024,0.333494002,0.593602542,0.237853028,0.686932393,0.46341964,0.464098355
2025,0.348913091,0.631991488,0.244580853,0.733951455,0.490470777,0.491210993
2026,0.373122517,0.672268136,0.263190266,0.779483317,0.522556131,0.523335559
2027,0.395119526,0.706873619,0.280425555,0.819011765,0.551096604,0.551905947
2028,0.408149673,0.736286024,0.286903758,0.854191708,0.57197146,0.572622569
2029,0.42183338,0.766141495,0.295216835,0.889580131,0.594003296,0.594827427
2030,0.436750469,0.790239023,0.307092252,0.916502531,0.613474105,0.614581198
2031,0.442931506,0.816174602,0.305734284,0.949870138,0.629519731,0.630553324
2032,0.450387384,0.845979701,0.305240196,0.987862165,0.648019305,0.648679554
2033,0.460345694,0.871760549,0.308946742,1.019803601,0.666106967,0.667180991
2034,0.468143528,0.892751784,0.311333027,1.044799263,0.68045459,0.68140853
2035,0.475026392,0.916754623,0.313157214,1.075576527,0.695833388,0.69677176
2036,0.483089201,0.939716076,0.315660168,1.10398293,0.71139193,0.712396989
2037,0.488519552,0.956491987,0.317366095,1.12419835,0.722332169,0.723182473
2038,0.490048605,0.970903299,0.313026527,1.143330322,0.730155406,0.731241517
2039,0.496054895,0.988782933,0.315514254,1.166011624,0.74251324,0.743604032
2040,0.50148451,1.003324874,0.316839802,1.183227955,0.752235161,0.753467319
2041,0.501606187,1.012356606,0.314185254,1.19558182,0.756697927,0.757632343
2042,0.506008979,1.020681751,0.316843246,1.205849163,0.763474569,0.764941838
2043,0.513473671,1.030426466,0.323483282,1.215527503,0.771681403,0.772627293
2044,0.51704157,1.042839881,0.324109036,1.23186945,0.779833463,0.781035864
2045,0.51586023,1.051205016,0.318944527,1.243786738,0.783555257,0.785104395
2046,0.506479679,1.052560671,0.306083094,1.249150104,0.779596533,0.780579896
2047,0.497216543,1.061573561,0.290651494,1.264291779,0.779479677,0.780900823
2048,0.493227812,1.069466109,0.281758374,1.276999114,0.781272408,0.782224582
2049,0.489554913,1.073334379,0.274516886,1.283440022,0.781479326,0.783131948
2050,0.487370899,1.080165527,0.270114491,1.292732429,0.783276776,0.78408801
2051,0.481853127,1.086281896,0.261108834,1.303966944,0.784162691,0.785268122
2052,0.478374353,1.085800841,0.25510907,1.304913336,0.781788592,0.782889578
2053,0.471766201,1.090047974,0.246156123,1.312312126,0.781051505,0.78207625
2054,0.470143532,1.095251654,0.240467813,1.32009176,0.782454837,0.783304029
2055,0.463723273,1.09327629,0.231843353,1.32023158,0.778268318,0.779564709
2056,0.450977284,1.090929638,0.215294177,1.321353147,0.771085314,0.772531194
2057,0.441082072,1.093434082,0.202662671,1.327404379,0.767039112,0.768009246
2058,0.435662734,1.098384471,0.193424633,1.336740595,0.766992715,0.768225804
2059,0.428947487,1.098523274,0.18296126,1.339288108,0.763295864,0.764427357
2060,0.422909339,1.097421392,0.174215935,1.339353047,0.759523532,0.76079762
2061,0.415532689,1.09907902,0.165540403,1.344615379,0.757018308,0.758170033
2062,0.407603806,1.101507062,0.155024975,1.349760665,0.754168252,0.755128931
2063,0.39790023,1.098459194,0.140759363,1.349976972,0.748031079,0.749267588
2064,0.389852068,1.093361446,0.131849175,1.346712527,0.741813457,0.743580211
2065,0.38162761,1.090107832,0.12236366,1.345080027,0.735812179,0.736899667
2066,0.380333757,1.092315596,0.119252923,1.348970422,0.736370726,0.737749006
2067,0.380349086,1.08916952,0.121886365,1.34343808,0.734576707,0.736203873
2068,0.376506944,1.087806061,0.117140761,1.343157744,0.732165735,0.733703051
2069,0.370449196,1.08884448,0.106916167,1.347102543,0.729631682,0.730848009
2070,0.365842228,1.089697762,0.099707467,1.350201275,0.72754321,0.729248498
2071,0.366595122,1.085381285,0.104833,1.344496489,0.726393989,0.728007098
2072,0.364884608,1.083416946,0.101912245,1.343086343,0.724013291,0.725034647
2073,0.362325738,1.081043075,0.099336515,1.340116697,0.721863013,0.722917896
2074,0.358217506,1.079099428,0.095560963,1.338650445,0.719074006,0.720857829
2075,0.360946985,1.081201715,0.096284373,1.339835602,0.720770583,0.72229394
2076,0.358928149,1.079397007,0.094649145,1.337771863,0.718677367,0.719568686
2077,0.35538695,1.078452135,0.089435168,1.338202909,0.716353836,0.716800073
