year,constrained 17th percentile ,83rd precentile,5th percentile,95th percentile,mean,median
2078,0.350729646,1.070041495,0.087431833,1.327521649,0.71014188,0.711554696
2079,0.34655198,1.056535977,0.08607636,1.312428784,0.701714239,0.703349139
2080,0.342724709,1.049702062,0.085463856,1.30343312,0.695736524,0.696807648
2081,0.342984756,1.04524835,0.087991425,1.297146021,0.693843128,0.694845927
2082,0.341329777,1.042565498,0.085694689,1.293450801,0.691773859,0.69274637
2083,0.34014316,1.035745155,0.084565829,1.28586584,0.687733913,0.689098428
2084,0.335426627,1.029681865,0.080998806,1.279300607,0.682345675,0.68345092
2085,0.335974142,1.029244473,0.082587438,1.278072771,0.682432838,0.683477634
2086,0.329395451,1.024066322,0.075007334,1.274061695,0.676236625,0.677313261
2087,0.320867134,1.018718689,0.063597962,1.270030189,0.669598901,0.671025798
2088,0.315627151,1.010668064,0.060968119,1.260558109,0.663064371,0.664247238
2089,0.307895031,1.000835018,0.054686103,1.250881036,0.654508002,0.655345641
2090,0.298346975,0.99268363,0.043336287,1.2414466,0.644780209,0.645864731
